STD_ZIP5,event_index,category,ISSUE_TIME,START_TIME,END_TIME
00601,0,N/S,202401300600,202401301200,202402061200
00602,0,N/S,202401300600,202401301200,202402061200
00603,0,N/S,202401300600,202401301200,202402061200
00604,0,N/S,202401300600,202401301200,202402061200
00605,0,N/S,202401300600,202401301200,202402061200
00606,0,N/S,202401300600,202401301200,202402061200
00610,0,N/S,202401300600,202401301200,202402061200
00611,0,N/S,202401300600,202401301200,202402061200
00612,0,N/S,202401300600,202401301200,202402061200
00613,0,N/S,202401300600,202401301200,202402061200
00614,0,N/S,202401300600,202401301200,202402061200
00616,0,N/S,202401300600,202401301200,202402061200
00617,0,N/S,202401300600,202401301200,202402061200
00622,0,N/S,202401300600,202401301200,202402061200
00623,0,N/S,202401300600,202401301200,202402061200
00624,0,N/S,202401300600,202401301200,202402061200
00627,0,N/S,202401300600,202401301200,202402061200
00637,0,N/S,202401300600,202401301200,202402061200
00638,0,N/S,202401300600,202401301200,202402061200
00641,0,N/S,202401300600,202401301200,202402061200
00646,0,N/S,202401300600,202401301200,202402061200
00647,0,N/S,202401300600,202401301200,202402061200
00650,0,N/S,202401300600,202401301200,202402061200
00652,0,N/S,202401300600,202401301200,202402061200
00653,0,N/S,202401300600,202401301200,202402061200
00656,0,N/S,202401300600,202401301200,202402061200
00659,0,N/S,202401300600,202401301200,202402061200
00660,0,N/S,202401300600,202401301200,202402061200
00662,0,N/S,202401300600,202401301200,202402061200
00664,0,N/S,202401300600,202401301200,202402061200
00667,0,N/S,202401300600,202401301200,202402061200
00669,0,N/S,202401300600,202401301200,202402061200
00670,0,N/S,202401300600,202401301200,202402061200
00674,0,N/S,202401300600,202401301200,202402061200
00676,0,N/S,202401300600,202401301200,202402061200
00677,0,N/S,202401300600,202401301200,202402061200
00678,0,N/S,202401300600,202401301200,202402061200
00680,0,N/S,202401300600,202401301200,202402061200
00681,0,N/S,202401300600,202401301200,202402061200
00682,0,N/S,202401300600,202401301200,202402061200
00683,0,N/S,202401300600,202401301200,202402061200
00685,0,N/S,202401300600,202401301200,202402061200
00687,0,N/S,202401300600,202401301200,202402061200
00688,0,N/S,202401300600,202401301200,202402061200
00690,0,N/S,202401300600,202401301200,202402061200
00692,0,N/S,202401300600,202401301200,202402061200
00693,0,N/S,202401300600,202401301200,202402061200
00694,0,N/S,202401300600,202401301200,202402061200
00698,0,N/S,202401300600,202401301200,202402061200
00703,0,N/S,202401300600,202401301200,202402061200
00704,0,N/S,202401300600,202401301200,202402061200
00705,0,N/S,202401300600,202401301200,202402061200
00707,0,N/S,202401300600,202401301200,202402061200
00714,0,N/S,202401300600,202401301200,202402061200
00715,0,N/S,202401300600,202401301200,202402061200
00716,0,N/S,202401300600,202401301200,202402061200
00717,0,N/S,202401300600,202401301200,202402061200
00718,0,N/S,202401300600,202401301200,202402061200
00719,0,N/S,202401300600,202401301200,202402061200
00720,0,N/S,202401300600,202401301200,202402061200
00721,0,N/S,202401300600,202401301200,202402061200
00723,0,N/S,202401300600,202401301200,202402061200
00725,0,N/S,202401300600,202401301200,202402061200
00726,0,N/S,202401300600,202401301200,202402061200
00727,0,N/S,202401300600,202401301200,202402061200
00728,0,N/S,202401300600,202401301200,202402061200
00729,0,N/S,202401300600,202401301200,202402061200
00730,0,N/S,202401300600,202401301200,202402061200
00731,0,N/S,202401300600,202401301200,202402061200
00732,0,N/S,202401300600,202401301200,202402061200
00733,0,N/S,202401300600,202401301200,202402061200
00735,0,N/S,202401300600,202401301200,202402061200
00736,0,N/S,202401300600,202401301200,202402061200
00737,0,N/S,202401300600,202401301200,202402061200
00738,0,N/S,202401300600,202401301200,202402061200
00739,0,N/S,202401300600,202401301200,202402061200
00740,0,N/S,202401300600,202401301200,202402061200
00741,0,N/S,202401300600,202401301200,202402061200
00744,0,N/S,202401300600,202401301200,202402061200
00745,0,N/S,202401300600,202401301200,202402061200
00751,0,N/S,202401300600,202401301200,202402061200
00754,0,N/S,202401300600,202401301200,202402061200
00757,0,N/S,202401300600,202401301200,202402061200
00765,0,N/S,202401300600,202401301200,202402061200
00766,0,N/S,202401300600,202401301200,202402061200
