STD_ZIP5,STUSPS,category_x,event_index,category_y
43315,OH,TSTM,1.0,TSTM
43316,OH,TSTM,1.0,TSTM
43317,OH,TSTM,1.0,TSTM
43318,OH,TSTM,1.0,TSTM
43319,OH,TSTM,1.0,TSTM
43320,OH,TSTM,1.0,TSTM
43321,OH,TSTM,1.0,TSTM
43322,OH,TSTM,1.0,TSTM
43323,OH,TSTM,1.0,TSTM
43324,OH,TSTM,1.0,TSTM
43325,OH,TSTM,1.0,TSTM
43326,OH,TSTM,1.0,TSTM
43331,OH,TSTM,1.0,TSTM
43332,OH,TSTM,1.0,TSTM
43333,OH,TSTM,1.0,TSTM
43334,OH,TSTM,1.0,TSTM
43337,OH,TSTM,1.0,TSTM
43338,OH,TSTM,1.0,TSTM
43340,OH,TSTM,1.0,TSTM
43341,OH,TSTM,1.0,TSTM
43342,OH,TSTM,1.0,TSTM
43343,OH,TSTM,1.0,TSTM
43344,OH,TSTM,1.0,TSTM
43345,OH,TSTM,1.0,TSTM
43347,OH,TSTM,1.0,TSTM
43348,OH,TSTM,1.0,TSTM
43350,OH,TSTM,1.0,TSTM
43351,OH,TSTM,1.0,TSTM
43356,OH,TSTM,1.0,TSTM
43357,OH,TSTM,1.0,TSTM
43358,OH,TSTM,1.0,TSTM
43359,OH,TSTM,1.0,TSTM
43360,OH,TSTM,1.0,TSTM
43402,OH,TSTM,1.0,TSTM
43406,OH,TSTM,1.0,TSTM
43407,OH,TSTM,1.0,TSTM
43408,OH,TSTM,1.0,TSTM
43410,OH,TSTM,1.0,TSTM
43412,OH,TSTM,1.0,TSTM
43413,OH,TSTM,1.0,TSTM
43414,OH,TSTM,1.0,TSTM
43416,OH,TSTM,1.0,TSTM
43420,OH,TSTM,1.0,TSTM
43430,OH,TSTM,1.0,TSTM
43431,OH,TSTM,1.0,TSTM
43432,OH,TSTM,1.0,TSTM
43433,OH,TSTM,1.0,TSTM
43434,OH,TSTM,1.0,TSTM
43435,OH,TSTM,1.0,TSTM
43436,OH,TSTM,1.0,TSTM
43437,OH,TSTM,1.0,TSTM
43438,OH,TSTM,1.0,TSTM
43439,OH,TSTM,1.0,TSTM
43440,OH,TSTM,1.0,TSTM
43441,OH,TSTM,1.0,TSTM
43442,OH,TSTM,1.0,TSTM
43443,OH,TSTM,1.0,TSTM
43445,OH,TSTM,1.0,TSTM
43446,OH,TSTM,1.0,TSTM
43447,OH,TSTM,1.0,TSTM
43449,OH,TSTM,1.0,TSTM
43450,OH,TSTM,1.0,TSTM
43451,OH,TSTM,1.0,TSTM
43452,OH,TSTM,1.0,TSTM
43456,OH,TSTM,1.0,TSTM
43457,OH,TSTM,1.0,TSTM
43458,OH,TSTM,1.0,TSTM
43460,OH,TSTM,1.0,TSTM
43462,OH,TSTM,1.0,TSTM
43463,OH,TSTM,1.0,TSTM
43464,OH,TSTM,1.0,TSTM
43465,OH,TSTM,1.0,TSTM
43466,OH,TSTM,1.0,TSTM
43467,OH,TSTM,1.0,TSTM
43468,OH,TSTM,1.0,TSTM
43469,OH,TSTM,1.0,TSTM
43501,OH,TSTM,1.0,TSTM
43502,OH,TSTM,1.0,TSTM
43504,OH,TSTM,1.0,TSTM
43505,OH,TSTM,1.0,TSTM
43506,OH,TSTM,1.0,TSTM
43510,OH,TSTM,1.0,TSTM
43511,OH,TSTM,1.0,TSTM
43512,OH,TSTM,1.0,TSTM
43515,OH,TSTM,1.0,TSTM
43516,OH,TSTM,1.0,TSTM
43517,OH,TSTM,1.0,TSTM
43518,OH,TSTM,1.0,TSTM
43519,OH,TSTM,1.0,TSTM
43520,OH,TSTM,1.0,TSTM
43521,OH,TSTM,1.0,TSTM
43522,OH,TSTM,1.0,TSTM
43523,OH,TSTM,1.0,TSTM
43524,OH,TSTM,1.0,TSTM
43525,OH,TSTM,1.0,TSTM
43526,OH,TSTM,1.0,TSTM
43527,OH,TSTM,1.0,TSTM
43528,OH,TSTM,1.0,TSTM
43529,OH,TSTM,1.0,TSTM
43531,OH,TSTM,1.0,TSTM
43532,OH,TSTM,1.0,TSTM
43533,OH,TSTM,1.0,TSTM
43534,OH,TSTM,1.0,TSTM
43535,OH,TSTM,1.0,TSTM
43536,OH,TSTM,1.0,TSTM
43537,OH,TSTM,1.0,TSTM
43540,OH,TSTM,1.0,TSTM
43541,OH,TSTM,1.0,TSTM
43542,OH,TSTM,1.0,TSTM
43543,OH,TSTM,1.0,TSTM
43545,OH,TSTM,1.0,TSTM
43547,OH,TSTM,1.0,TSTM
43548,OH,TSTM,1.0,TSTM
43549,OH,TSTM,1.0,TSTM
43551,OH,TSTM,1.0,TSTM
43552,OH,TSTM,1.0,TSTM
43553,OH,TSTM,1.0,TSTM
43554,OH,TSTM,1.0,TSTM
43555,OH,TSTM,1.0,TSTM
43556,OH,TSTM,1.0,TSTM
43557,OH,TSTM,1.0,TSTM
43558,OH,TSTM,1.0,TSTM
43560,OH,TSTM,1.0,TSTM
43565,OH,TSTM,1.0,TSTM
43566,OH,TSTM,1.0,TSTM
43567,OH,TSTM,1.0,TSTM
43569,OH,TSTM,1.0,TSTM
43570,OH,TSTM,1.0,TSTM
43571,OH,TSTM,1.0,TSTM
43604,OH,TSTM,1.0,TSTM
43605,OH,TSTM,1.0,TSTM
43606,OH,TSTM,1.0,TSTM
43607,OH,TSTM,1.0,TSTM
43608,OH,TSTM,1.0,TSTM
43609,OH,TSTM,1.0,TSTM
43610,OH,TSTM,1.0,TSTM
43611,OH,TSTM,1.0,TSTM
43612,OH,TSTM,1.0,TSTM
43613,OH,TSTM,1.0,TSTM
43614,OH,TSTM,1.0,TSTM
43615,OH,TSTM,1.0,TSTM
43616,OH,TSTM,1.0,TSTM
43617,OH,TSTM,1.0,TSTM
43619,OH,TSTM,1.0,TSTM
43620,OH,TSTM,1.0,TSTM
43623,OH,TSTM,1.0,TSTM
43635,OH,TSTM,1.0,TSTM
43804,OH,TSTM,1.0,TSTM
43805,OH,TSTM,1.0,TSTM
43811,OH,TSTM,1.0,TSTM
43812,OH,TSTM,1.0,TSTM
43821,OH,TSTM,1.0,TSTM
43822,OH,TSTM,1.0,TSTM
43824,OH,TSTM,1.0,TSTM
43832,OH,TSTM,1.0,TSTM
43840,OH,TSTM,1.0,TSTM
43842,OH,TSTM,1.0,TSTM
43843,OH,TSTM,1.0,TSTM
43844,OH,TSTM,1.0,TSTM
43845,OH,TSTM,1.0,TSTM
44001,OH,TSTM,1.0,TSTM
44003,OH,TSTM,1.0,TSTM
44004,OH,TSTM,1.0,TSTM
44010,OH,TSTM,1.0,TSTM
44011,OH,TSTM,1.0,TSTM
44012,OH,TSTM,1.0,TSTM
44017,OH,TSTM,1.0,TSTM
44021,OH,TSTM,1.0,TSTM
44022,OH,TSTM,1.0,TSTM
44023,OH,TSTM,1.0,TSTM
44024,OH,TSTM,1.0,TSTM
44026,OH,TSTM,1.0,TSTM
44028,OH,TSTM,1.0,TSTM
44030,OH,TSTM,1.0,TSTM
44032,OH,TSTM,1.0,TSTM
44035,OH,TSTM,1.0,TSTM
44036,OH,TSTM,1.0,TSTM
44039,OH,TSTM,1.0,TSTM
44040,OH,TSTM,1.0,TSTM
44041,OH,TSTM,1.0,TSTM
44044,OH,TSTM,1.0,TSTM
44045,OH,TSTM,1.0,TSTM
44046,OH,TSTM,1.0,TSTM
44047,OH,TSTM,1.0,TSTM
44048,OH,TSTM,1.0,TSTM
44049,OH,TSTM,1.0,TSTM
44050,OH,TSTM,1.0,TSTM
