STD_ZIP5,event_index,category,ISSUE_TIME,START_TIME,END_TIME
00601,0,N/S,202401310600,202401310100,202402071200
00602,0,N/S,202401310600,202401310100,202402071200
00603,0,N/S,202401310600,202401310100,202402071200
00604,0,N/S,202401310600,202401310100,202402071200
00605,0,N/S,202401310600,202401310100,202402071200
00606,0,N/S,202401310600,202401310100,202402071200
00610,0,N/S,202401310600,202401310100,202402071200
00611,0,N/S,202401310600,202401310100,202402071200
00612,0,N/S,202401310600,202401310100,202402071200
00613,0,N/S,202401310600,202401310100,202402071200
00614,0,N/S,202401310600,202401310100,202402071200
00616,0,N/S,202401310600,202401310100,202402071200
00617,0,N/S,202401310600,202401310100,202402071200
00622,0,N/S,202401310600,202401310100,202402071200
00623,0,N/S,202401310600,202401310100,202402071200
00624,0,N/S,202401310600,202401310100,202402071200
00627,0,N/S,202401310600,202401310100,202402071200
00637,0,N/S,202401310600,202401310100,202402071200
00638,0,N/S,202401310600,202401310100,202402071200
00641,0,N/S,202401310600,202401310100,202402071200
00646,0,N/S,202401310600,202401310100,202402071200
00647,0,N/S,202401310600,202401310100,202402071200
00650,0,N/S,202401310600,202401310100,202402071200
00652,0,N/S,202401310600,202401310100,202402071200
00653,0,N/S,202401310600,202401310100,202402071200
00656,0,N/S,202401310600,202401310100,202402071200
00659,0,N/S,202401310600,202401310100,202402071200
00660,0,N/S,202401310600,202401310100,202402071200
00662,0,N/S,202401310600,202401310100,202402071200
00664,0,N/S,202401310600,202401310100,202402071200
00667,0,N/S,202401310600,202401310100,202402071200
00669,0,N/S,202401310600,202401310100,202402071200
00670,0,N/S,202401310600,202401310100,202402071200
00674,0,N/S,202401310600,202401310100,202402071200
00676,0,N/S,202401310600,202401310100,202402071200
00677,0,N/S,202401310600,202401310100,202402071200
00678,0,N/S,202401310600,202401310100,202402071200
00680,0,N/S,202401310600,202401310100,202402071200
00681,0,N/S,202401310600,202401310100,202402071200
00682,0,N/S,202401310600,202401310100,202402071200
00683,0,N/S,202401310600,202401310100,202402071200
00685,0,N/S,202401310600,202401310100,202402071200
00687,0,N/S,202401310600,202401310100,202402071200
00688,0,N/S,202401310600,202401310100,202402071200
00690,0,N/S,202401310600,202401310100,202402071200
00692,0,N/S,202401310600,202401310100,202402071200
00693,0,N/S,202401310600,202401310100,202402071200
00694,0,N/S,202401310600,202401310100,202402071200
00698,0,N/S,202401310600,202401310100,202402071200
00703,0,N/S,202401310600,202401310100,202402071200
00704,0,N/S,202401310600,202401310100,202402071200
00705,0,N/S,202401310600,202401310100,202402071200
00707,0,N/S,202401310600,202401310100,202402071200
00714,0,N/S,202401310600,202401310100,202402071200
00715,0,N/S,202401310600,202401310100,202402071200
00716,0,N/S,202401310600,202401310100,202402071200
00717,0,N/S,202401310600,202401310100,202402071200
