STD_ZIP5,STUSPS,category,event_index
83342,ID,MODERATE,3.0
83344,ID,MINOR,2.0
83346,ID,MODERATE,3.0
83347,ID,MINOR,2.0
83348,ID,MINOR,2.0
83349,ID,MINOR,2.0
83350,ID,MINOR,2.0
83352,ID,MINOR,2.0
83353,ID,MAJOR,4.0
83354,ID,MAJOR,4.0
83355,ID,MINOR,2.0
83401,ID,MODERATE,3.0
83402,ID,MODERATE,3.0
83403,ID,MODERATE,3.0
83404,ID,MODERATE,3.0
83405,ID,MODERATE,3.0
83406,ID,MODERATE,3.0
83414,WY,MAJOR,4.0
83420,ID,MODERATE,3.0
83421,ID,MODERATE,3.0
83422,ID,MAJOR,4.0
83423,ID,MODERATE,3.0
83424,ID,MAJOR,4.0
83425,ID,MODERATE,3.0
83427,ID,MODERATE,3.0
83428,ID,MAJOR,4.0
83429,ID,MAJOR,4.0
83431,ID,MODERATE,3.0
83434,ID,MODERATE,3.0
83435,ID,MODERATE,3.0
83436,ID,MODERATE,3.0
83438,ID,MODERATE,3.0
83440,ID,MODERATE,3.0
83442,ID,MODERATE,3.0
83443,ID,MODERATE,3.0
83444,ID,MODERATE,3.0
83445,ID,MODERATE,3.0
83446,ID,MODERATE,3.0
83448,ID,MODERATE,3.0
83449,ID,MAJOR,4.0
83450,ID,MODERATE,3.0
83451,ID,MODERATE,3.0
83452,ID,MAJOR,4.0
83454,ID,MODERATE,3.0
83455,ID,MAJOR,4.0
83460,ID,MODERATE,3.0
83462,ID,MODERATE,3.0
83463,ID,MINOR,2.0
83464,ID,MODERATE,3.0
83465,ID,MODERATE,3.0
83466,ID,MINOR,2.0
83467,ID,MODERATE,3.0
83468,ID,MODERATE,3.0
83469,ID,MINOR,2.0
83501,ID,MINOR,2.0
83520,ID,MINOR,2.0
83522,ID,MINOR,2.0
83523,ID,MINOR,2.0
83524,ID,MINOR,2.0
83525,ID,MODERATE,3.0
83526,ID,MINOR,2.0
83530,ID,MINOR,2.0
83533,ID,MINOR,2.0
83535,ID,MINOR,2.0
83536,ID,MINOR,2.0
83537,ID,MINOR,2.0
83539,ID,MINOR,2.0
83540,ID,MINOR,2.0
83541,ID,MINOR,2.0
83542,ID,MODERATE,3.0
83543,ID,MINOR,2.0
83544,ID,MINOR,2.0
83545,ID,MINOR,2.0
83546,ID,MINOR,2.0
83547,ID,MODERATE,3.0
83548,ID,MINOR,2.0
83549,ID,MODERATE,3.0
83552,ID,MINOR,2.0
83553,ID,MINOR,2.0
83554,ID,MODERATE,3.0
83555,ID,MINOR,2.0
83602,ID,MINOR,2.0
83604,ID,MINOR,2.0
83605,ID,MINOR,2.0
83606,ID,MINOR,2.0
83607,ID,MINOR,2.0
83610,ID,MINOR,2.0
83611,ID,MAJOR,4.0
83612,ID,MODERATE,3.0
83615,ID,MAJOR,4.0
83616,ID,MINOR,2.0
83617,ID,MINOR,2.0
83619,ID,MINOR,2.0
83622,ID,MODERATE,3.0
83623,ID,MINOR,2.0
83624,ID,MINOR,2.0
83626,ID,MINOR,2.0
83627,ID,MINOR,2.0
83628,ID,MINOR,2.0
83629,ID,MINOR,2.0
83631,ID,MINOR,2.0
83632,ID,MINOR,2.0
83633,ID,MINOR,2.0
83634,ID,MINOR,2.0
83636,ID,MINOR,2.0
83637,ID,MODERATE,3.0
83638,ID,MAJOR,4.0
83639,ID,MINOR,2.0
83641,ID,MINOR,2.0
83642,ID,MINOR,2.0
83643,ID,MINOR,2.0
83644,ID,MINOR,2.0
83645,ID,MINOR,2.0
83646,ID,MINOR,2.0
83647,ID,MINOR,2.0
83648,ID,MINOR,2.0
83650,ID,MINOR,2.0
83651,ID,MINOR,2.0
83653,ID,MINOR,2.0
83654,ID,MODERATE,3.0
83655,ID,MINOR,2.0
83656,ID,MINOR,2.0
83657,ID,MINOR,2.0
83660,ID,MINOR,2.0
83661,ID,MINOR,2.0
83666,ID,MINOR,2.0
83669,ID,MINOR,2.0
83670,ID,MODERATE,3.0
83672,ID,MINOR,2.0
83676,ID,MINOR,2.0
83677,ID,MODERATE,3.0
83680,ID,MINOR,2.0
83686,ID,MINOR,2.0
83687,ID,MINOR,2.0
83701,ID,MINOR,2.0
83702,ID,MINOR,2.0
83703,ID,MINOR,2.0
83704,ID,MINOR,2.0
83705,ID,MINOR,2.0
83706,ID,MINOR,2.0
83707,ID,MINOR,2.0
83709,ID,MINOR,2.0
83711,ID,MINOR,2.0
83712,ID,MINOR,2.0
83713,ID,MINOR,2.0
83714,ID,MINOR,2.0
83715,ID,MINOR,2.0
83716,ID,MINOR,2.0
83717,ID,MINOR,2.0
83719,ID,MINOR,2.0
83801,ID,MINOR,2.0
83802,ID,MINOR,2.0
83803,ID,MINOR,2.0
83804,ID,MINOR,2.0
83805,ID,MINOR,2.0
83808,ID,MINOR,2.0
83809,ID,MINOR,2.0
83810,ID,MINOR,2.0
83811,ID,MINOR,2.0
83812,ID,MINOR,2.0
83813,ID,MINOR,2.0
83814,ID,MINOR,2.0
83815,ID,MINOR,2.0
83816,ID,MINOR,2.0
83821,ID,MODERATE,3.0
83822,ID,MINOR,2.0
83823,ID,MINOR,2.0
83824,ID,MINOR,2.0
83827,ID,MINOR,2.0
83830,ID,MINOR,2.0
83832,ID,MINOR,2.0
83833,ID,MINOR,2.0
83834,ID,MINOR,2.0
83835,ID,MINOR,2.0
83836,ID,MINOR,2.0
83837,ID,MINOR,2.0
83839,ID,MINOR,2.0
83841,ID,MINOR,2.0
83842,ID,MINOR,2.0
83843,ID,MINOR,2.0
83845,ID,MINOR,2.0
83846,ID,MINOR,2.0
83847,ID,MODERATE,3.0
83848,ID,MODERATE,3.0
83849,ID,MINOR,2.0
83850,ID,MINOR,2.0
83851,ID,MINOR,2.0
83852,ID,MINOR,2.0
83853,ID,MINOR,2.0
83854,ID,MINOR,2.0
83855,ID,MINOR,2.0
83856,ID,MINOR,2.0
83857,ID,MINOR,2.0
83858,ID,MINOR,2.0
83860,ID,MINOR,2.0
83861,ID,MINOR,2.0
83864,ID,MINOR,2.0
83866,ID,MINOR,2.0
83868,ID,MINOR,2.0
83869,ID,MINOR,2.0
83870,ID,MINOR,2.0
83871,ID,MINOR,2.0
83872,ID,MINOR,2.0
83873,ID,MINOR,2.0
83874,ID,MINOR,2.0
83876,ID,MINOR,2.0
83877,ID,MINOR,2.0
84001,UT,MODERATE,3.0
84002,UT,MODERATE,3.0
84003,UT,MODERATE,3.0
84004,UT,MODERATE,3.0
84005,UT,MODERATE,3.0
84006,UT,MODERATE,3.0
84007,UT,MODERATE,3.0
84008,UT,MODERATE,3.0
84009,UT,MODERATE,3.0
84010,UT,MODERATE,3.0
84011,UT,MODERATE,3.0
84013,UT,MODERATE,3.0
84014,UT,MODERATE,3.0
84015,UT,MODERATE,3.0
84016,UT,MODERATE,3.0
84017,UT,MODERATE,3.0
84018,UT,MODERATE,3.0
84020,UT,MODERATE,3.0
84021,UT,MODERATE,3.0
84022,UT,MODERATE,3.0
84023,UT,MODERATE,3.0
84025,UT,MODERATE,3.0
84026,UT,MODERATE,3.0
84027,UT,MODERATE,3.0
84028,UT,MODERATE,3.0
84029,UT,MODERATE,3.0
84031,UT,MODERATE,3.0
84032,UT,MAJOR,4.0
84033,UT,MODERATE,3.0
84034,UT,MODERATE,3.0
84035,UT,MODERATE,3.0
84036,UT,MAJOR,4.0
84037,UT,MODERATE,3.0
84038,UT,MODERATE,3.0
84039,UT,MODERATE,3.0
84040,UT,MODERATE,3.0
84041,UT,MODERATE,3.0
84042,UT,MODERATE,3.0
84043,UT,MODERATE,3.0
84044,UT,MODERATE,3.0
84045,UT,MODERATE,3.0
84046,UT,MODERATE,3.0
84047,UT,MODERATE,3.0
84049,UT,MAJOR,4.0
84050,UT,MODERATE,3.0
84051,UT,MODERATE,3.0
84052,UT,MODERATE,3.0
84053,UT,MODERATE,3.0
84054,UT,MODERATE,3.0
84055,UT,MAJOR,4.0
84056,UT,MODERATE,3.0
84057,UT,MODERATE,3.0
84058,UT,MODERATE,3.0
84059,UT,MODERATE,3.0
84060,UT,MAJOR,4.0
84061,UT,MAJOR,4.0
84062,UT,MODERATE,3.0
84063,UT,MODERATE,3.0
84064,UT,MODERATE,3.0
84065,UT,MODERATE,3.0
84066,UT,MODERATE,3.0
84067,UT,MODERATE,3.0
84068,UT,MAJOR,4.0
84069,UT,MODERATE,3.0
84070,UT,MODERATE,3.0
84071,UT,MODERATE,3.0
84072,UT,MODERATE,3.0
84073,UT,MODERATE,3.0
84074,UT,MODERATE,3.0
84075,UT,MODERATE,3.0
84076,UT,MODERATE,3.0
84078,UT,MODERATE,3.0
84079,UT,MODERATE,3.0
84080,UT,MODERATE,3.0
84081,UT,MODERATE,3.0
84082,UT,MAJOR,4.0
84083,UT,MODERATE,3.0
84084,UT,MODERATE,3.0
84085,UT,MODERATE,3.0
84086,UT,MODERATE,3.0
84087,UT,MODERATE,3.0
84088,UT,MODERATE,3.0
84089,UT,MODERATE,3.0
84090,UT,MODERATE,3.0
84091,UT,MODERATE,3.0
84092,UT,MODERATE,3.0
84093,UT,MODERATE,3.0
84094,UT,MODERATE,3.0
84095,UT,MODERATE,3.0
84096,UT,MODERATE,3.0
84097,UT,MODERATE,3.0
84098,UT,MAJOR,4.0
84101,UT,MODERATE,3.0
84102,UT,MODERATE,3.0
84103,UT,MODERATE,3.0
84104,UT,MODERATE,3.0
84105,UT,MODERATE,3.0
84106,UT,MODERATE,3.0
84107,UT,MODERATE,3.0
84108,UT,MODERATE,3.0
84109,UT,MODERATE,3.0
84110,UT,MODERATE,3.0
84111,UT,MODERATE,3.0
84112,UT,MODERATE,3.0
84113,UT,MODERATE,3.0
84115,UT,MODERATE,3.0
84116,UT,MODERATE,3.0
84117,UT,MODERATE,3.0
84118,UT,MODERATE,3.0
84119,UT,MODERATE,3.0
84120,UT,MODERATE,3.0
84121,UT,MODERATE,3.0
84122,UT,MODERATE,3.0
84123,UT,MODERATE,3.0
84124,UT,MODERATE,3.0
84125,UT,MODERATE,3.0
84126,UT,MODERATE,3.0
84127,UT,MODERATE,3.0
84128,UT,MODERATE,3.0
84129,UT,MODERATE,3.0
84152,UT,MODERATE,3.0
84157,UT,MODERATE,3.0
84158,UT,MODERATE,3.0
84165,UT,MODERATE,3.0
84170,UT,MODERATE,3.0
84171,UT,MODERATE,3.0
84301,UT,MODERATE,3.0
84302,UT,MODERATE,3.0
84304,UT,MODERATE,3.0
84305,UT,MODERATE,3.0
84306,UT,MODERATE,3.0
84307,UT,MODERATE,3.0
84308,UT,MODERATE,3.0
84309,UT,MODERATE,3.0
84310,UT,MAJOR,4.0
84311,UT,MODERATE,3.0
84312,UT,MODERATE,3.0
84313,UT,MODERATE,3.0
84314,UT,MODERATE,3.0
84315,UT,MODERATE,3.0
84316,UT,MODERATE,3.0
84317,UT,MODERATE,3.0
84318,UT,MAJOR,4.0
84319,UT,MAJOR,4.0
84320,UT,MODERATE,3.0
84321,UT,MAJOR,4.0
84323,UT,MAJOR,4.0
84324,UT,MAJOR,4.0
84325,UT,MAJOR,4.0
84326,UT,MAJOR,4.0
84327,UT,MODERATE,3.0
84328,UT,MAJOR,4.0
84329,UT,MODERATE,3.0
84330,UT,MODERATE,3.0
84331,UT,MODERATE,3.0
84332,UT,MAJOR,4.0
84333,UT,MODERATE,3.0
84334,UT,MODERATE,3.0
84335,UT,MAJOR,4.0
84336,UT,MODERATE,3.0
84337,UT,MODERATE,3.0
84338,UT,MODERATE,3.0
84339,UT,MAJOR,4.0
84340,UT,MODERATE,3.0
84341,UT,MAJOR,4.0
84401,UT,MODERATE,3.0
84402,UT,MODERATE,3.0
84403,UT,MODERATE,3.0
84404,UT,MODERATE,3.0
84405,UT,MODERATE,3.0
84408,UT,MODERATE,3.0
84409,UT,MODERATE,3.0
84412,UT,MODERATE,3.0
84414,UT,MODERATE,3.0
84415,UT,MODERATE,3.0
84501,UT,MINOR,2.0
84513,UT,MINOR,2.0
84515,UT,MINOR,2.0
84516,UT,MODERATE,3.0
84518,UT,MINOR,2.0
84520,UT,MINOR,2.0
84521,UT,MINOR,2.0
84522,UT,MINOR,2.0
84523,UT,MINOR,2.0
84525,UT,MINOR,2.0
84526,UT,MODERATE,3.0
84528,UT,MODERATE,3.0
84529,UT,MODERATE,3.0
84530,UT,MINOR,2.0
84532,UT,MINOR,2.0
84533,UT,MINOR,2.0
84535,UT,MINOR,2.0
84537,UT,MINOR,2.0
84539,UT,MINOR,2.0
84540,UT,MINOR,2.0
84542,UT,MINOR,2.0
84601,UT,MODERATE,3.0
84602,UT,MODERATE,3.0
84603,UT,MODERATE,3.0
84604,UT,MODERATE,3.0
84605,UT,MODERATE,3.0
84606,UT,MODERATE,3.0
84620,UT,MODERATE,3.0
84621,UT,MODERATE,3.0
84622,UT,MODERATE,3.0
84623,UT,MAJOR,4.0
84624,UT,MODERATE,3.0
84626,UT,MODERATE,3.0
84627,UT,MODERATE,3.0
84628,UT,MODERATE,3.0
84629,UT,MODERATE,3.0
84630,UT,MODERATE,3.0
84631,UT,MODERATE,3.0
84632,UT,MAJOR,4.0
84633,UT,MODERATE,3.0
84634,UT,MODERATE,3.0
84635,UT,MODERATE,3.0
84636,UT,MAJOR,4.0
84637,UT,MODERATE,3.0
84638,UT,MODERATE,3.0
84639,UT,MODERATE,3.0
84640,UT,MODERATE,3.0
84642,UT,MODERATE,3.0
84643,UT,MODERATE,3.0
84644,UT,MODERATE,3.0
84645,UT,MODERATE,3.0
84646,UT,MODERATE,3.0
84647,UT,MODERATE,3.0
84648,UT,MODERATE,3.0
84649,UT,MODERATE,3.0
84651,UT,MODERATE,3.0
84652,UT,MODERATE,3.0
84653,UT,MODERATE,3.0
84654,UT,MODERATE,3.0
84655,UT,MODERATE,3.0
84656,UT,MODERATE,3.0
84657,UT,MODERATE,3.0
84660,UT,MODERATE,3.0
84662,UT,MODERATE,3.0
84663,UT,MAJOR,4.0
84664,UT,MAJOR,4.0
84665,UT,MODERATE,3.0
84667,UT,MAJOR,4.0
84701,UT,MODERATE,3.0
84711,UT,MODERATE,3.0
84712,UT,MODERATE,3.0
84713,UT,MODERATE,3.0
84714,UT,MINOR,2.0
84715,UT,LIMITED,1.0
84716,UT,MODERATE,3.0
84718,UT,MODERATE,3.0
84719,UT,MODERATE,3.0
84720,UT,MINOR,2.0
84721,UT,MINOR,2.0
84722,UT,MINOR,2.0
84723,UT,MODERATE,3.0
84724,UT,MODERATE,3.0
84725,UT,MINOR,2.0
84726,UT,MODERATE,3.0
84728,UT,MODERATE,3.0
84730,UT,MODERATE,3.0
84731,UT,MODERATE,3.0
84732,UT,MODERATE,3.0
84733,UT,MINOR,2.0
84734,UT,LIMITED,1.0
84735,UT,MODERATE,3.0
84736,UT,MODERATE,3.0
84737,UT,LIMITED,1.0
