STD_ZIP5,STUSPS,category,event_index
29423,SC,TSTM,1.0
29424,SC,TSTM,1.0
29426,SC,TSTM,1.0
29429,SC,TSTM,1.0
29431,SC,TSTM,1.0
29432,SC,TSTM,1.0
29434,SC,TSTM,1.0
29435,SC,TSTM,1.0
29436,SC,TSTM,1.0
29437,SC,TSTM,1.0
29438,SC,TSTM,1.0
29439,SC,TSTM,1.0
29440,SC,TSTM,1.0
29442,SC,TSTM,1.0
29445,SC,TSTM,1.0
29446,SC,TSTM,1.0
29448,SC,TSTM,1.0
29449,SC,TSTM,1.0
29450,SC,TSTM,1.0
29451,SC,TSTM,1.0
29452,SC,TSTM,1.0
29453,SC,TSTM,1.0
29455,SC,TSTM,1.0
29456,SC,TSTM,1.0
29457,SC,TSTM,1.0
29458,SC,TSTM,1.0
29461,SC,TSTM,1.0
29464,SC,TSTM,1.0
29465,SC,TSTM,1.0
29466,SC,TSTM,1.0
29468,SC,TSTM,1.0
29469,SC,TSTM,1.0
29470,SC,TSTM,1.0
29471,SC,TSTM,1.0
29472,SC,TSTM,1.0
29474,SC,TSTM,1.0
29475,SC,TSTM,1.0
29477,SC,TSTM,1.0
29479,SC,TSTM,1.0
29481,SC,TSTM,1.0
29482,SC,TSTM,1.0
29483,SC,TSTM,1.0
29484,SC,TSTM,1.0
29485,SC,TSTM,1.0
29486,SC,TSTM,1.0
29487,SC,TSTM,1.0
29488,SC,TSTM,1.0
29492,SC,TSTM,1.0
29493,SC,TSTM,1.0
29501,SC,TSTM,1.0
29502,SC,TSTM,1.0
29503,SC,TSTM,1.0
29505,SC,TSTM,1.0
29506,SC,TSTM,1.0
29510,SC,TSTM,1.0
29511,SC,TSTM,1.0
29516,SC,TSTM,1.0
29518,SC,TSTM,1.0
29526,SC,TSTM,1.0
29527,SC,TSTM,1.0
29528,SC,TSTM,1.0
29530,SC,TSTM,1.0
29532,SC,TSTM,1.0
29536,SC,TSTM,1.0
29540,SC,TSTM,1.0
29541,SC,TSTM,1.0
29543,SC,TSTM,1.0
29544,SC,TSTM,1.0
29545,SC,TSTM,1.0
29546,SC,TSTM,1.0
29547,SC,TSTM,1.0
29554,SC,TSTM,1.0
29555,SC,TSTM,1.0
29556,SC,TSTM,1.0
29560,SC,TSTM,1.0
29563,SC,TSTM,1.0
29564,SC,TSTM,1.0
29565,SC,TSTM,1.0
29566,SC,TSTM,1.0
29567,SC,TSTM,1.0
29568,SC,TSTM,1.0
29569,SC,TSTM,1.0
29571,SC,TSTM,1.0
29572,SC,TSTM,1.0
29574,SC,TSTM,1.0
29575,SC,TSTM,1.0
29576,SC,TSTM,1.0
29577,SC,TSTM,1.0
29578,SC,TSTM,1.0
29579,SC,TSTM,1.0
29580,SC,TSTM,1.0
29581,SC,TSTM,1.0
29582,SC,TSTM,1.0
29583,SC,TSTM,1.0
29585,SC,TSTM,1.0
29587,SC,TSTM,1.0
29588,SC,TSTM,1.0
29590,SC,TSTM,1.0
29591,SC,TSTM,1.0
29592,SC,TSTM,1.0
29597,SC,TSTM,1.0
29598,SC,TSTM,1.0
29605,SC,TSTM,1.0
29611,SC,TSTM,1.0
29620,SC,TSTM,1.0
29621,SC,TSTM,1.0
29622,SC,TSTM,1.0
29623,SC,TSTM,1.0
29624,SC,TSTM,1.0
29625,SC,TSTM,1.0
29626,SC,TSTM,1.0
29627,SC,TSTM,1.0
29628,SC,TSTM,1.0
29630,SC,TSTM,1.0
29631,SC,TSTM,1.0
29633,SC,TSTM,1.0
29636,SC,TSTM,1.0
29638,SC,TSTM,1.0
29639,SC,TSTM,1.0
29640,SC,TSTM,1.0
29641,SC,TSTM,1.0
29642,SC,TSTM,1.0
29643,SC,TSTM,1.0
29644,SC,TSTM,1.0
29645,SC,TSTM,1.0
29646,SC,TSTM,1.0
29648,SC,TSTM,1.0
29649,SC,TSTM,1.0
29653,SC,TSTM,1.0
29654,SC,TSTM,1.0
29655,SC,TSTM,1.0
29657,SC,TSTM,1.0
29658,SC,TSTM,1.0
29659,SC,TSTM,1.0
29662,SC,TSTM,1.0
29664,SC,TSTM,1.0
29665,SC,TSTM,1.0
29666,SC,TSTM,1.0
29667,SC,TSTM,1.0
29669,SC,TSTM,1.0
29670,SC,TSTM,1.0
29671,SC,TSTM,1.0
29672,SC,TSTM,1.0
29673,SC,TSTM,1.0
29676,SC,TSTM,1.0
29678,SC,TSTM,1.0
29679,SC,TSTM,1.0
29680,SC,TSTM,1.0
29682,SC,TSTM,1.0
29684,SC,TSTM,1.0
29685,SC,TSTM,1.0
29686,SC,TSTM,1.0
29689,SC,TSTM,1.0
29691,SC,TSTM,1.0
29692,SC,TSTM,1.0
29693,SC,TSTM,1.0
29696,SC,TSTM,1.0
29697,SC,TSTM,1.0
29801,SC,TSTM,1.0
29802,SC,TSTM,1.0
29803,SC,TSTM,1.0
29804,SC,TSTM,1.0
29805,SC,TSTM,1.0
29809,SC,TSTM,1.0
29810,SC,TSTM,1.0
29812,SC,TSTM,1.0
29817,SC,TSTM,1.0
29819,SC,TSTM,1.0
29821,SC,TSTM,1.0
29822,SC,TSTM,1.0
29824,SC,TSTM,1.0
29827,SC,TSTM,1.0
29828,SC,TSTM,1.0
29829,SC,TSTM,1.0
29831,SC,TSTM,1.0
29832,SC,TSTM,1.0
29835,SC,TSTM,1.0
29836,SC,TSTM,1.0
29838,SC,TSTM,1.0
29839,SC,TSTM,1.0
29840,SC,TSTM,1.0
29841,SC,TSTM,1.0
29842,SC,TSTM,1.0
29843,SC,TSTM,1.0
29845,SC,TSTM,1.0
29847,SC,TSTM,1.0
29848,SC,TSTM,1.0
29849,SC,TSTM,1.0
29851,SC,TSTM,1.0
29853,SC,TSTM,1.0
29856,SC,TSTM,1.0
29860,SC,TSTM,1.0
29861,SC,TSTM,1.0
29901,SC,TSTM,1.0
29902,SC,TSTM,1.0
29903,SC,TSTM,1.0
29904,SC,TSTM,1.0
29906,SC,TSTM,1.0
29907,SC,TSTM,1.0
29909,SC,TSTM,1.0
29910,SC,TSTM,1.0
29911,SC,TSTM,1.0
29912,SC,TSTM,1.0
29915,SC,TSTM,1.0
29916,SC,TSTM,1.0
29918,SC,TSTM,1.0
29920,SC,TSTM,1.0
29921,SC,TSTM,1.0
29922,SC,TSTM,1.0
29924,SC,TSTM,1.0
29925,SC,TSTM,1.0
29926,SC,TSTM,1.0
29927,SC,TSTM,1.0
29928,SC,TSTM,1.0
29929,SC,TSTM,1.0
29932,SC,TSTM,1.0
29934,SC,TSTM,1.0
29935,SC,TSTM,1.0
29936,SC,TSTM,1.0
29938,SC,TSTM,1.0
29940,SC,TSTM,1.0
29941,SC,TSTM,1.0
29943,SC,TSTM,1.0
29944,SC,TSTM,1.0
29945,SC,TSTM,1.0
30002,GA,TSTM,1.0
30003,GA,TSTM,1.0
30004,GA,TSTM,1.0
30005,GA,TSTM,1.0
30006,GA,TSTM,1.0
30007,GA,TSTM,1.0
30008,GA,TSTM,1.0
30009,GA,TSTM,1.0
30010,GA,TSTM,1.0
30011,GA,TSTM,1.0
30012,GA,TSTM,1.0
30013,GA,TSTM,1.0
30014,GA,TSTM,1.0
30015,GA,TSTM,1.0
30016,GA,TSTM,1.0
30017,GA,TSTM,1.0
30019,GA,TSTM,1.0
30021,GA,TSTM,1.0
30022,GA,TSTM,1.0
30023,GA,TSTM,1.0
30024,GA,TSTM,1.0
30025,GA,TSTM,1.0
30028,GA,TSTM,1.0
30030,GA,TSTM,1.0
30031,GA,TSTM,1.0
30032,GA,TSTM,1.0
30033,GA,TSTM,1.0
30034,GA,TSTM,1.0
30035,GA,TSTM,1.0
30036,GA,TSTM,1.0
30037,GA,TSTM,1.0
30038,GA,TSTM,1.0
30039,GA,TSTM,1.0
30040,GA,TSTM,1.0
30041,GA,TSTM,1.0
30042,GA,TSTM,1.0
30043,GA,TSTM,1.0
30044,GA,TSTM,1.0
30045,GA,TSTM,1.0
30046,GA,TSTM,1.0
30047,GA,TSTM,1.0
30048,GA,TSTM,1.0
30049,GA,TSTM,1.0
30052,GA,TSTM,1.0
30054,GA,TSTM,1.0
30055,GA,TSTM,1.0
30056,GA,TSTM,1.0
30058,GA,TSTM,1.0
30060,GA,TSTM,1.0
30061,GA,TSTM,1.0
30062,GA,TSTM,1.0
30064,GA,TSTM,1.0
30065,GA,TSTM,1.0
30066,GA,TSTM,1.0
30067,GA,TSTM,1.0
30068,GA,TSTM,1.0
30070,GA,TSTM,1.0
30071,GA,TSTM,1.0
30072,GA,TSTM,1.0
30074,GA,TSTM,1.0
30075,GA,TSTM,1.0
30076,GA,TSTM,1.0
30077,GA,TSTM,1.0
30078,GA,TSTM,1.0
30079,GA,TSTM,1.0
30080,GA,TSTM,1.0
30081,GA,TSTM,1.0
30082,GA,TSTM,1.0
30083,GA,TSTM,1.0
30084,GA,TSTM,1.0
30085,GA,TSTM,1.0
30086,GA,TSTM,1.0
30087,GA,TSTM,1.0
30088,GA,TSTM,1.0
30091,GA,TSTM,1.0
30092,GA,TSTM,1.0
30093,GA,TSTM,1.0
30094,GA,TSTM,1.0
30095,GA,TSTM,1.0
30096,GA,TSTM,1.0
30097,GA,TSTM,1.0
30101,GA,TSTM,1.0
30102,GA,TSTM,1.0
30103,GA,TSTM,1.0
30104,GA,TSTM,1.0
30105,GA,TSTM,1.0
30106,GA,TSTM,1.0
30107,GA,TSTM,1.0
30108,GA,TSTM,1.0
30110,GA,TSTM,1.0
30111,GA,TSTM,1.0
30112,GA,TSTM,1.0
30113,GA,TSTM,1.0
30114,GA,TSTM,1.0
30115,GA,TSTM,1.0
30116,GA,TSTM,1.0
30117,GA,TSTM,1.0
30120,GA,TSTM,1.0
30121,GA,TSTM,1.0
30122,GA,TSTM,1.0
30123,GA,TSTM,1.0
30124,GA,TSTM,1.0
30125,GA,TSTM,1.0
30126,GA,TSTM,1.0
30127,GA,TSTM,1.0
30132,GA,TSTM,1.0
30133,GA,TSTM,1.0
30134,GA,TSTM,1.0
30135,GA,TSTM,1.0
30137,GA,TSTM,1.0
30139,GA,TSTM,1.0
30141,GA,TSTM,1.0
30142,GA,TSTM,1.0
30143,GA,TSTM,1.0
30144,GA,TSTM,1.0
30145,GA,TSTM,1.0
30146,GA,TSTM,1.0
30147,GA,TSTM,1.0
30148,GA,TSTM,1.0
30152,GA,TSTM,1.0
30153,GA,TSTM,1.0
30154,GA,TSTM,1.0
30156,GA,TSTM,1.0
30157,GA,TSTM,1.0
30160,GA,TSTM,1.0
30161,GA,TSTM,1.0
30162,GA,TSTM,1.0
30164,GA,TSTM,1.0
30165,GA,TSTM,1.0
30168,GA,TSTM,1.0
30169,GA,TSTM,1.0
30170,GA,TSTM,1.0
30171,GA,TSTM,1.0
30173,GA,TSTM,1.0
30175,GA,TSTM,1.0
30176,GA,TSTM,1.0
30177,GA,TSTM,1.0
30178,GA,TSTM,1.0
30179,GA,TSTM,1.0
30180,GA,TSTM,1.0
30182,GA,TSTM,1.0
30183,GA,TSTM,1.0
30184,GA,TSTM,1.0
30185,GA,TSTM,1.0
30187,GA,TSTM,1.0
30188,GA,TSTM,1.0
30189,GA,TSTM,1.0
30204,GA,TSTM,1.0
30205,GA,TSTM,1.0
30206,GA,TSTM,1.0
30212,GA,TSTM,1.0
30213,GA,TSTM,1.0
30214,GA,TSTM,1.0
30215,GA,TSTM,1.0
30216,GA,TSTM,1.0
30217,GA,TSTM,1.0
30218,GA,TSTM,1.0
30220,GA,TSTM,1.0
30222,GA,TSTM,1.0
30223,GA,TSTM,1.0
30224,GA,TSTM,1.0
30228,GA,TSTM,1.0
30230,GA,TSTM,1.0
30233,GA,TSTM,1.0
30234,GA,TSTM,1.0
30236,GA,TSTM,1.0
30237,GA,TSTM,1.0
30238,GA,TSTM,1.0
30240,GA,TSTM,1.0
30241,GA,TSTM,1.0
30248,GA,TSTM,1.0
30250,GA,TSTM,1.0
30251,GA,TSTM,1.0
30252,GA,TSTM,1.0
30253,GA,TSTM,1.0
30256,GA,TSTM,1.0
30257,GA,TSTM,1.0
30258,GA,TSTM,1.0
30259,GA,TSTM,1.0
30260,GA,TSTM,1.0
30261,GA,TSTM,1.0
30263,GA,TSTM,1.0
30264,GA,TSTM,1.0
30265,GA,TSTM,1.0
30266,GA,TSTM,1.0
30268,GA,TSTM,1.0
30269,GA,TSTM,1.0
30271,GA,TSTM,1.0
30272,GA,TSTM,1.0
30273,GA,TSTM,1.0
30274,GA,TSTM,1.0
30276,GA,TSTM,1.0
30277,GA,TSTM,1.0
30281,GA,TSTM,1.0
30284,GA,TSTM,1.0
30285,GA,TSTM,1.0
30286,GA,TSTM,1.0
30287,GA,TSTM,1.0
30288,GA,TSTM,1.0
30290,GA,TSTM,1.0
30291,GA,TSTM,1.0
30292,GA,TSTM,1.0
30293,GA,TSTM,1.0
30294,GA,TSTM,1.0
30295,GA,TSTM,1.0
30296,GA,TSTM,1.0
30297,GA,TSTM,1.0
30298,GA,TSTM,1.0
30301,GA,TSTM,1.0
30302,GA,TSTM,1.0
30303,GA,TSTM,1.0
30305,GA,TSTM,1.0
30306,GA,TSTM,1.0
30307,GA,TSTM,1.0
30308,GA,TSTM,1.0
30309,GA,TSTM,1.0
30310,GA,TSTM,1.0
30311,GA,TSTM,1.0
30312,GA,TSTM,1.0
30313,GA,TSTM,1.0
30314,GA,TSTM,1.0
30315,GA,TSTM,1.0
30316,GA,TSTM,1.0
30317,GA,TSTM,1.0
30318,GA,TSTM,1.0
30319,GA,TSTM,1.0
30320,GA,TSTM,1.0
30321,GA,TSTM,1.0
30324,GA,TSTM,1.0
30325,GA,TSTM,1.0
30326,GA,TSTM,1.0
30327,GA,TSTM,1.0
30328,GA,TSTM,1.0
30329,GA,TSTM,1.0
30331,GA,TSTM,1.0
30332,GA,TSTM,1.0
30333,GA,TSTM,1.0
30334,GA,TSTM,1.0
30336,GA,TSTM,1.0
30337,GA,TSTM,1.0
30338,GA,TSTM,1.0
30339,GA,TSTM,1.0
30340,GA,TSTM,1.0
30341,GA,TSTM,1.0
30342,GA,TSTM,1.0
30343,GA,TSTM,1.0
30344,GA,TSTM,1.0
30345,GA,TSTM,1.0
30346,GA,TSTM,1.0
30349,GA,TSTM,1.0
30350,GA,TSTM,1.0
30354,GA,TSTM,1.0
30355,GA,TSTM,1.0
30356,GA,TSTM,1.0
30357,GA,TSTM,1.0
30358,GA,TSTM,1.0
30359,GA,TSTM,1.0
30360,GA,TSTM,1.0
30362,GA,TSTM,1.0
30363,GA,TSTM,1.0
30364,GA,TSTM,1.0
30366,GA,TSTM,1.0
30377,GA,TSTM,1.0
30401,GA,TSTM,1.0
30410,GA,TSTM,1.0
30411,GA,TSTM,1.0
30413,GA,TSTM,1.0
30415,GA,TSTM,1.0
30417,GA,TSTM,1.0
30420,GA,TSTM,1.0
30421,GA,TSTM,1.0
30425,GA,TSTM,1.0
30426,GA,TSTM,1.0
30427,GA,TSTM,1.0
30428,GA,TSTM,1.0
30434,GA,TSTM,1.0
30436,GA,TSTM,1.0
30439,GA,TSTM,1.0
30441,GA,TSTM,1.0
30442,GA,TSTM,1.0
30445,GA,TSTM,1.0
30446,GA,TSTM,1.0
30450,GA,TSTM,1.0
30452,GA,TSTM,1.0
30453,GA,TSTM,1.0
30454,GA,TSTM,1.0
30455,GA,TSTM,1.0
30456,GA,TSTM,1.0
30457,GA,TSTM,1.0
30458,GA,TSTM,1.0
30459,GA,TSTM,1.0
30461,GA,TSTM,1.0
30467,GA,TSTM,1.0
30470,GA,TSTM,1.0
30471,GA,TSTM,1.0
30473,GA,TSTM,1.0
30474,GA,TSTM,1.0
30475,GA,TSTM,1.0
30477,GA,TSTM,1.0
30501,GA,TSTM,1.0
30502,GA,TSTM,1.0
30503,GA,TSTM,1.0
