NAMELSAD,STUSPS,category,event_index
Wahkiakum County,WA,TSTM,1.0
Sierra County,CA,TSTM,1.0
Clinton County,KY,TSTM,1.0
Hancock County,OH,TSTM,1.0
Clay County,AL,TSTM,1.0
Allen County,OH,TSTM,1.0
Sauk County,WI,TSTM,1.0
Stone County,AR,MRGL,2.0
Jasper County,MS,TSTM,1.0
Henry County,MO,TSTM,1.0
Adair County,OK,TSTM,1.0
Hamilton County,TN,TSTM,1.0
Marengo County,AL,TSTM,1.0
Barton County,MO,TSTM,1.0
Calhoun County,TX,TSTM,1.0
Calcasieu Parish,LA,MRGL,2.0
Union Parish,LA,MRGL,2.0
Sequoyah County,OK,MRGL,2.0
DeKalb County,AL,TSTM,1.0
Tangipahoa Parish,LA,MRGL,2.0
Menominee County,MI,TSTM,1.0
Jasper County,IN,TSTM,1.0
Brantley County,GA,TSTM,1.0
Lamar County,GA,TSTM,1.0
Steuben County,IN,TSTM,1.0
Orange County,TX,MRGL,2.0
Fayette County,OH,TSTM,1.0
Allen County,KY,TSTM,1.0
Gonzales County,TX,TSTM,1.0
Marion County,TN,TSTM,1.0
Alpena County,MI,TSTM,1.0
Wayne County,KY,TSTM,1.0
White County,TN,TSTM,1.0
Fannin County,TX,MRGL,2.0
Doniphan County,KS,TSTM,1.0
Kerr County,TX,TSTM,1.0
Hernando County,FL,TSTM,1.0
Wakulla County,FL,TSTM,1.0
Walton County,FL,TSTM,1.0
Chickasaw County,MS,TSTM,1.0
Clare County,MI,TSTM,1.0
Volusia County,FL,TSTM,1.0
Floyd County,GA,TSTM,1.0
Hancock County,IL,TSTM,1.0
Clay County,IL,TSTM,1.0
Knox County,MO,TSTM,1.0
Livingston County,MO,TSTM,1.0
Leelanau County,MI,TSTM,1.0
Refugio County,TX,TSTM,1.0
Butler County,OH,TSTM,1.0
Terrell County,GA,TSTM,1.0
Clayton County,GA,TSTM,1.0
Ohio County,IN,TSTM,1.0
Musselshell County,MT,TSTM,1.0
Perry County,IN,TSTM,1.0
Union County,MS,TSTM,1.0
Jim Hogg County,TX,TSTM,1.0
Polk County,AR,MRGL,2.0
Macon County,GA,TSTM,1.0
Benton County,IN,TSTM,1.0
Morgan County,TN,TSTM,1.0
Wabash County,IL,TSTM,1.0
Huntington County,IN,TSTM,1.0
Scott County,KY,TSTM,1.0
Decatur County,IA,TSTM,1.0
Wabash County,IN,TSTM,1.0
Allen County,IN,TSTM,1.0
Marshall County,IN,TSTM,1.0
Dimmit County,TX,TSTM,1.0
Fillmore County,MN,TSTM,1.0
Charlton County,GA,TSTM,1.0
Polk County,GA,TSTM,1.0
McLean County,IL,TSTM,1.0
Johnson County,MO,TSTM,1.0
La Crosse County,WI,TSTM,1.0
Caldwell Parish,LA,MRGL,2.0
Edmonson County,KY,TSTM,1.0
Bond County,IL,TSTM,1.0
Brown County,IL,TSTM,1.0
Madison County,MO,TSTM,1.0
Brazos County,TX,TSTM,1.0
Marshall County,OK,TSTM,1.0
Jackson County,WI,TSTM,1.0
Clatsop County,OR,TSTM,1.0
Cedar County,IA,TSTM,1.0
Orange County,IN,TSTM,1.0
DeKalb County,GA,TSTM,1.0
Pickens County,GA,TSTM,1.0
Campbell County,TN,TSTM,1.0
Carroll County,IA,TSTM,1.0
Tensas Parish,LA,MRGL,2.0
Monroe County,TN,TSTM,1.0
Gem County,ID,TSTM,1.0
Independence County,AR,MRGL,2.0
Lonoke County,AR,MRGL,2.0
Newton County,IN,TSTM,1.0
Hendry County,FL,TSTM,1.0
Jefferson County,TX,MRGL,2.0
Bell County,TX,TSTM,1.0
Kemper County,MS,TSTM,1.0
Clark County,AR,MRGL,2.0
Cherokee County,AL,TSTM,1.0
Bandera County,TX,TSTM,1.0
Rosebud County,MT,TSTM,1.0
Schoolcraft County,MI,TSTM,1.0
Jersey County,IL,TSTM,1.0
Alger County,MI,TSTM,1.0
Fulton County,AR,TSTM,1.0
Hidalgo County,TX,TSTM,1.0
Newaygo County,MI,TSTM,1.0
Logan County,AR,MRGL,2.0
Miller County,AR,MRGL,2.0
Orange County,FL,TSTM,1.0
Carroll County,GA,TSTM,1.0
Warrick County,IN,TSTM,1.0
Adair County,KY,TSTM,1.0
Gallatin County,KY,TSTM,1.0
Harrison County,KY,TSTM,1.0
Grayson County,TX,TSTM,1.0
Hale County,AL,TSTM,1.0
Perry County,AL,TSTM,1.0
Colbert County,AL,TSTM,1.0
Bourbon County,KY,TSTM,1.0
Rutherford County,TN,TSTM,1.0
Cook County,GA,TSTM,1.0
Piatt County,IL,TSTM,1.0
Greene County,AL,TSTM,1.0
Webster County,IA,TSTM,1.0
Pope County,IL,TSTM,1.0
Smith County,TN,TSTM,1.0
Jefferson County,IA,TSTM,1.0
Duchesne County,UT,TSTM,1.0
Delta County,TX,MRGL,2.0
Trousdale County,TN,TSTM,1.0
Perry County,KY,TSTM,1.0
Zavala County,TX,TSTM,1.0
Madison County,IA,TSTM,1.0
Broward County,FL,TSTM,1.0
Toombs County,GA,TSTM,1.0
Sanilac County,MI,TSTM,1.0
Rockwall County,TX,TSTM,1.0
Wayne County,MI,TSTM,1.0
Washington County,MS,TSTM,1.0
Issaquena County,MS,TSTM,1.0
DeWitt County,TX,TSTM,1.0
Angelina County,TX,MRGL,2.0
Maries County,MO,TSTM,1.0
Arkansas County,AR,TSTM,1.0
Lawrence County,MO,TSTM,1.0
Bureau County,IL,TSTM,1.0
Scioto County,OH,TSTM,1.0
Jerome County,ID,TSTM,1.0
McLennan County,TX,TSTM,1.0
Howard County,IA,TSTM,1.0
Palm Beach County,FL,TSTM,1.0
Butler County,AL,TSTM,1.0
Sumner County,TN,TSTM,1.0
Carroll County,AR,MRGL,2.0
Multnomah County,OR,TSTM,1.0
Grundy County,TN,TSTM,1.0
Reynolds County,MO,TSTM,1.0
Sacramento County,CA,TSTM,1.0
Paulding County,OH,TSTM,1.0
Wells County,IN,TSTM,1.0
Benton County,MS,TSTM,1.0
Crittenden County,KY,TSTM,1.0
Ringgold County,IA,TSTM,1.0
Warren County,IN,TSTM,1.0
Clinton County,IA,TSTM,1.0
Calaveras County,CA,TSTM,1.0
Lake County,IN,TSTM,1.0
Bedford County,TN,TSTM,1.0
Clay County,TN,TSTM,1.0
Coles County,IL,TSTM,1.0
Lauderdale County,TN,TSTM,1.0
Van Buren County,MI,TSTM,1.0
Mercer County,IL,TSTM,1.0
Morgan County,KY,TSTM,1.0
Muhlenberg County,KY,TSTM,1.0
Effingham County,IL,TSTM,1.0
Loudon County,TN,TSTM,1.0
Gilchrist County,FL,TSTM,1.0
Tippecanoe County,IN,TSTM,1.0
Lamar County,TX,MRGL,2.0
Miami-Dade County,FL,TSTM,1.0
Leon County,TX,TSTM,1.0
Pitkin County,CO,TSTM,1.0
LaPorte County,IN,TSTM,1.0
Hamilton County,IN,TSTM,1.0
Harris County,GA,TSTM,1.0
Henry County,OH,TSTM,1.0
Newton County,MO,TSTM,1.0
Posey County,IN,TSTM,1.0
McMullen County,TX,TSTM,1.0
Cumberland County,IL,TSTM,1.0
Crawford County,IL,TSTM,1.0
Gordon County,GA,TSTM,1.0
Calhoun County,IA,TSTM,1.0
Highlands County,FL,TSTM,1.0
Fulton County,OH,TSTM,1.0
Citrus County,FL,TSTM,1.0
DeKalb County,TN,TSTM,1.0
Decatur County,IN,TSTM,1.0
Dubois County,IN,TSTM,1.0
Hughes County,OK,TSTM,1.0
Lowndes County,MS,TSTM,1.0
Scott County,IN,TSTM,1.0
Muskogee County,OK,TSTM,1.0
Christian County,MO,TSTM,1.0
Lamar County,MS,TSTM,1.0
Ripley County,IN,TSTM,1.0
Jackson Parish,LA,MRGL,2.0
Fort Bend County,TX,TSTM,1.0
Green Lake County,WI,TSTM,1.0
Walworth County,WI,TSTM,1.0
Fulton County,IL,TSTM,1.0
Union County,IN,TSTM,1.0
McDonald County,MO,TSTM,1.0
Lee County,AL,TSTM,1.0
Parker County,TX,TSTM,1.0
Upson County,GA,TSTM,1.0
Sonoma County,CA,TSTM,1.0
Chippewa County,MI,TSTM,1.0
Long County,GA,TSTM,1.0
Ottawa County,OK,TSTM,1.0
Clinton County,MI,TSTM,1.0
Montgomery County,IL,TSTM,1.0
Alcorn County,MS,TSTM,1.0
Lafayette County,MS,TSTM,1.0
Grant Parish,LA,MRGL,2.0
Atchison County,MO,TSTM,1.0
Macon County,IL,TSTM,1.0
St. Joseph County,MI,TSTM,1.0
Franklin County,IL,TSTM,1.0
Garfield County,MT,TSTM,1.0
Mobile County,AL,TSTM,1.0
Fayette County,AL,TSTM,1.0
Chambers County,AL,TSTM,1.0
Moffat County,CO,TSTM,1.0
Green County,KY,TSTM,1.0
Franklin County,IN,TSTM,1.0
Wolfe County,KY,TSTM,1.0
Fayette County,TX,TSTM,1.0
Carroll County,MS,TSTM,1.0
Benton County,OR,TSTM,1.0
Lincoln Parish,LA,MRGL,2.0
Harrison County,TX,MRGL,2.0
Rogers County,OK,TSTM,1.0
Boone County,MO,TSTM,1.0
Van Buren County,AR,MRGL,2.0
Summit County,CO,TSTM,1.0
Johnson County,AR,MRGL,2.0
Lincoln County,MS,MRGL,2.0
Hickman County,TN,TSTM,1.0
Tunica County,MS,TSTM,1.0
Harrison County,MO,TSTM,1.0
Bartholomew County,IN,TSTM,1.0
Paulding County,GA,TSTM,1.0
Brown County,OH,TSTM,1.0
Putnam County,TN,TSTM,1.0
Logan County,OH,TSTM,1.0
