STD_ZIP5,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
00601,PR,0,N/S,202401300600,202401301200,202402061200
00602,PR,0,N/S,202401300600,202401301200,202402061200
00603,PR,0,N/S,202401300600,202401301200,202402061200
00604,PR,0,N/S,202401300600,202401301200,202402061200
00605,PR,0,N/S,202401300600,202401301200,202402061200
00606,PR,0,N/S,202401300600,202401301200,202402061200
00610,PR,0,N/S,202401300600,202401301200,202402061200
00611,PR,0,N/S,202401300600,202401301200,202402061200
00612,PR,0,N/S,202401300600,202401301200,202402061200
00613,PR,0,N/S,202401300600,202401301200,202402061200
00614,PR,0,N/S,202401300600,202401301200,202402061200
00616,PR,0,N/S,202401300600,202401301200,202402061200
00617,PR,0,N/S,202401300600,202401301200,202402061200
00622,PR,0,N/S,202401300600,202401301200,202402061200
00623,PR,0,N/S,202401300600,202401301200,202402061200
00624,PR,0,N/S,202401300600,202401301200,202402061200
00627,PR,0,N/S,202401300600,202401301200,202402061200
00637,PR,0,N/S,202401300600,202401301200,202402061200
00638,PR,0,N/S,202401300600,202401301200,202402061200
00641,PR,0,N/S,202401300600,202401301200,202402061200
00646,PR,0,N/S,202401300600,202401301200,202402061200
00647,PR,0,N/S,202401300600,202401301200,202402061200
00650,PR,0,N/S,202401300600,202401301200,202402061200
00652,PR,0,N/S,202401300600,202401301200,202402061200
00653,PR,0,N/S,202401300600,202401301200,202402061200
00656,PR,0,N/S,202401300600,202401301200,202402061200
00659,PR,0,N/S,202401300600,202401301200,202402061200
00660,PR,0,N/S,202401300600,202401301200,202402061200
00662,PR,0,N/S,202401300600,202401301200,202402061200
00664,PR,0,N/S,202401300600,202401301200,202402061200
00667,PR,0,N/S,202401300600,202401301200,202402061200
00669,PR,0,N/S,202401300600,202401301200,202402061200
00670,PR,0,N/S,202401300600,202401301200,202402061200
00674,PR,0,N/S,202401300600,202401301200,202402061200
00676,PR,0,N/S,202401300600,202401301200,202402061200
00677,PR,0,N/S,202401300600,202401301200,202402061200
00678,PR,0,N/S,202401300600,202401301200,202402061200
00680,PR,0,N/S,202401300600,202401301200,202402061200
00681,PR,0,N/S,202401300600,202401301200,202402061200
00682,PR,0,N/S,202401300600,202401301200,202402061200
00683,PR,0,N/S,202401300600,202401301200,202402061200
00685,PR,0,N/S,202401300600,202401301200,202402061200
00687,PR,0,N/S,202401300600,202401301200,202402061200
00688,PR,0,N/S,202401300600,202401301200,202402061200
00690,PR,0,N/S,202401300600,202401301200,202402061200
00692,PR,0,N/S,202401300600,202401301200,202402061200
00693,PR,0,N/S,202401300600,202401301200,202402061200
00694,PR,0,N/S,202401300600,202401301200,202402061200
00698,PR,0,N/S,202401300600,202401301200,202402061200
00703,PR,0,N/S,202401300600,202401301200,202402061200
00704,PR,0,N/S,202401300600,202401301200,202402061200
00705,PR,0,N/S,202401300600,202401301200,202402061200
00707,PR,0,N/S,202401300600,202401301200,202402061200
00714,PR,0,N/S,202401300600,202401301200,202402061200
00715,PR,0,N/S,202401300600,202401301200,202402061200
00716,PR,0,N/S,202401300600,202401301200,202402061200
00717,PR,0,N/S,202401300600,202401301200,202402061200
00718,PR,0,N/S,202401300600,202401301200,202402061200
00719,PR,0,N/S,202401300600,202401301200,202402061200
00720,PR,0,N/S,202401300600,202401301200,202402061200
00721,PR,0,N/S,202401300600,202401301200,202402061200
00723,PR,0,N/S,202401300600,202401301200,202402061200
00725,PR,0,N/S,202401300600,202401301200,202402061200
00726,PR,0,N/S,202401300600,202401301200,202402061200
00727,PR,0,N/S,202401300600,202401301200,202402061200
00728,PR,0,N/S,202401300600,202401301200,202402061200
00729,PR,0,N/S,202401300600,202401301200,202402061200
00730,PR,0,N/S,202401300600,202401301200,202402061200
00731,PR,0,N/S,202401300600,202401301200,202402061200
00732,PR,0,N/S,202401300600,202401301200,202402061200
