STD_ZIP5,event_index,ISSUE_TIME,START_TIME,END_TIME
00601,0,202401280600,202401281200,202402041200
00602,0,202401280600,202401281200,202402041200
00603,0,202401280600,202401281200,202402041200
00604,0,202401280600,202401281200,202402041200
00605,0,202401280600,202401281200,202402041200
00606,0,202401280600,202401281200,202402041200
00610,0,202401280600,202401281200,202402041200
00611,0,202401280600,202401281200,202402041200
00612,0,202401280600,202401281200,202402041200
00613,0,202401280600,202401281200,202402041200
00614,0,202401280600,202401281200,202402041200
00616,0,202401280600,202401281200,202402041200
00617,0,202401280600,202401281200,202402041200
00622,0,202401280600,202401281200,202402041200
00623,0,202401280600,202401281200,202402041200
00624,0,202401280600,202401281200,202402041200
00627,0,202401280600,202401281200,202402041200
00637,0,202401280600,202401281200,202402041200
00638,0,202401280600,202401281200,202402041200
00641,0,202401280600,202401281200,202402041200
00646,0,202401280600,202401281200,202402041200
00647,0,202401280600,202401281200,202402041200
00650,0,202401280600,202401281200,202402041200
00652,0,202401280600,202401281200,202402041200
00653,0,202401280600,202401281200,202402041200
00656,0,202401280600,202401281200,202402041200
00659,0,202401280600,202401281200,202402041200
00660,0,202401280600,202401281200,202402041200
00662,0,202401280600,202401281200,202402041200
00664,0,202401280600,202401281200,202402041200
00667,0,202401280600,202401281200,202402041200
00669,0,202401280600,202401281200,202402041200
00670,0,202401280600,202401281200,202402041200
00674,0,202401280600,202401281200,202402041200
00676,0,202401280600,202401281200,202402041200
00677,0,202401280600,202401281200,202402041200
00678,0,202401280600,202401281200,202402041200
00680,0,202401280600,202401281200,202402041200
00681,0,202401280600,202401281200,202402041200
00682,0,202401280600,202401281200,202402041200
00683,0,202401280600,202401281200,202402041200
00685,0,202401280600,202401281200,202402041200
00687,0,202401280600,202401281200,202402041200
00688,0,202401280600,202401281200,202402041200
00690,0,202401280600,202401281200,202402041200
00692,0,202401280600,202401281200,202402041200
00693,0,202401280600,202401281200,202402041200
00694,0,202401280600,202401281200,202402041200
00698,0,202401280600,202401281200,202402041200
00703,0,202401280600,202401281200,202402041200
00704,0,202401280600,202401281200,202402041200
00705,0,202401280600,202401281200,202402041200
00707,0,202401280600,202401281200,202402041200
00714,0,202401280600,202401281200,202402041200
00715,0,202401280600,202401281200,202402041200
00716,0,202401280600,202401281200,202402041200
00717,0,202401280600,202401281200,202402041200
00718,0,202401280600,202401281200,202402041200
00719,0,202401280600,202401281200,202402041200
00720,0,202401280600,202401281200,202402041200
00721,0,202401280600,202401281200,202402041200
00723,0,202401280600,202401281200,202402041200
00725,0,202401280600,202401281200,202402041200
00726,0,202401280600,202401281200,202402041200
00727,0,202401280600,202401281200,202402041200
00728,0,202401280600,202401281200,202402041200
00729,0,202401280600,202401281200,202402041200
00730,0,202401280600,202401281200,202402041200
00731,0,202401280600,202401281200,202402041200
00732,0,202401280600,202401281200,202402041200
00733,0,202401280600,202401281200,202402041200
00735,0,202401280600,202401281200,202402041200
00736,0,202401280600,202401281200,202402041200
00737,0,202401280600,202401281200,202402041200
00738,0,202401280600,202401281200,202402041200
00739,0,202401280600,202401281200,202402041200
00740,0,202401280600,202401281200,202402041200
00741,0,202401280600,202401281200,202402041200
00744,0,202401280600,202401281200,202402041200
00745,0,202401280600,202401281200,202402041200
00751,0,202401280600,202401281200,202402041200
00754,0,202401280600,202401281200,202402041200
00757,0,202401280600,202401281200,202402041200
00765,0,202401280600,202401281200,202402041200
00766,0,202401280600,202401281200,202402041200
00767,0,202401280600,202401281200,202402041200
00769,0,202401280600,202401281200,202402041200
00771,0,202401280600,202401281200,202402041200
00772,0,202401280600,202401281200,202402041200
00773,0,202401280600,202401281200,202402041200
00777,0,202401280600,202401281200,202402041200
00778,0,202401280600,202401281200,202402041200
00780,0,202401280600,202401281200,202402041200
00782,0,202401280600,202401281200,202402041200
00783,0,202401280600,202401281200,202402041200
00784,0,202401280600,202401281200,202402041200
00785,0,202401280600,202401281200,202402041200
00791,0,202401280600,202401281200,202402041200
00792,0,202401280600,202401281200,202402041200
00794,0,202401280600,202401281200,202402041200
00795,0,202401280600,202401281200,202402041200
00801,0,202401280600,202401281200,202402041200
00802,0,202401280600,202401281200,202402041200
00803,0,202401280600,202401281200,202402041200
00804,0,202401280600,202401281200,202402041200
00820,0,202401280600,202401281200,202402041200
00830,0,202401280600,202401281200,202402041200
00831,0,202401280600,202401281200,202402041200
00840,0,202401280600,202401281200,202402041200
00850,0,202401280600,202401281200,202402041200
00901,0,202401280600,202401281200,202402041200
00902,0,202401280600,202401281200,202402041200
00907,0,202401280600,202401281200,202402041200
00908,0,202401280600,202401281200,202402041200
00909,0,202401280600,202401281200,202402041200
00910,0,202401280600,202401281200,202402041200
00911,0,202401280600,202401281200,202402041200
00912,0,202401280600,202401281200,202402041200
00913,0,202401280600,202401281200,202402041200
00914,0,202401280600,202401281200,202402041200
00915,0,202401280600,202401281200,202402041200
00916,0,202401280600,202401281200,202402041200
00917,0,202401280600,202401281200,202402041200
00918,0,202401280600,202401281200,202402041200
00919,0,202401280600,202401281200,202402041200
00920,0,202401280600,202401281200,202402041200
00921,0,202401280600,202401281200,202402041200
00922,0,202401280600,202401281200,202402041200
00923,0,202401280600,202401281200,202402041200
00924,0,202401280600,202401281200,202402041200
00925,0,202401280600,202401281200,202402041200
