STD_ZIP5,STUSPS,category,event_index
01201,MA,LIMITED,1.0
01202,MA,LIMITED,1.0
01220,MA,LIMITED,1.0
01224,MA,LIMITED,1.0
01225,MA,LIMITED,1.0
01226,MA,LIMITED,1.0
01227,MA,LIMITED,1.0
01235,MA,LIMITED,1.0
01237,MA,LIMITED,1.0
01238,MA,LIMITED,1.0
01240,MA,LIMITED,1.0
01247,MA,LIMITED,1.0
01256,MA,LIMITED,1.0
01267,MA,LIMITED,1.0
01270,MA,LIMITED,1.0
01343,MA,LIMITED,1.0
01350,MA,LIMITED,1.0
03215,NH,LIMITED,1.0
03223,NH,LIMITED,1.0
03227,NH,LIMITED,1.0
03251,NH,LIMITED,1.0
03259,NH,LIMITED,1.0
03262,NH,LIMITED,1.0
03285,NH,LIMITED,1.0
03582,NH,LIMITED,1.0
03583,NH,LIMITED,1.0
03593,NH,LIMITED,1.0
03595,NH,LIMITED,1.0
03812,NH,LIMITED,1.0
03838,NH,LIMITED,1.0
03846,NH,LIMITED,1.0
03883,NH,LIMITED,1.0
03890,NH,LIMITED,1.0
03897,NH,LIMITED,1.0
04964,ME,LIMITED,1.0
04970,ME,LIMITED,1.0
05148,VT,LIMITED,1.0
05152,VT,LIMITED,1.0
05155,VT,LIMITED,1.0
05201,VT,LIMITED,1.0
05250,VT,LIMITED,1.0
05251,VT,LIMITED,1.0
05252,VT,LIMITED,1.0
05253,VT,LIMITED,1.0
05254,VT,LIMITED,1.0
05255,VT,LIMITED,1.0
05257,VT,LIMITED,1.0
05260,VT,LIMITED,1.0
05261,VT,LIMITED,1.0
05262,VT,LIMITED,1.0
05340,VT,LIMITED,1.0
05343,VT,LIMITED,1.0
05350,VT,LIMITED,1.0
05352,VT,LIMITED,1.0
05355,VT,LIMITED,1.0
05356,VT,LIMITED,1.0
05359,VT,LIMITED,1.0
05360,VT,LIMITED,1.0
05363,VT,LIMITED,1.0
05662,VT,LIMITED,1.0
05672,VT,LIMITED,1.0
05768,VT,LIMITED,1.0
05776,VT,LIMITED,1.0
12009,NY,LIMITED,1.0
12010,NY,LIMITED,1.0
12020,NY,LIMITED,1.0
12022,NY,LIMITED,1.0
12023,NY,LIMITED,1.0
