STD_ZIP5,event_index,category,ISSUE_TIME,START_TIME,END_TIME
18931,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18932,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18933,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18934,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18935,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18936,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18938,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18940,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18942,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18944,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18947,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18949,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18950,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18951,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18953,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18954,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18955,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18957,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18960,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18962,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18963,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18964,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18966,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18969,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18970,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18972,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18974,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18976,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
18977,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19001,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19002,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19003,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19004,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19006,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19007,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19008,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19009,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19010,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19012,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19013,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19014,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19015,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19016,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19017,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19018,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19020,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19021,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19022,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19023,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19025,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19026,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19027,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19028,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19029,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19030,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19031,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19032,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19033,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19034,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19035,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19036,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19038,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19040,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19041,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19043,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19044,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19046,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19047,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19050,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19052,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19053,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19054,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19055,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19056,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19057,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19058,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19060,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19061,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19063,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19064,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19066,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19067,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19070,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19072,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19073,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19074,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19075,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19076,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19078,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19079,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19081,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19082,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19083,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19085,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19086,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19087,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19090,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19094,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19095,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19096,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19101,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19102,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19103,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19104,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19105,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19106,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19107,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19109,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19110,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19111,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19114,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19115,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19116,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19118,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19119,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19120,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19121,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
19122,0,N/S,2024-01-28 0731Z,07Z 01/28/24,06Z 01/31/24
