STD_ZIP5,event_index,category,ISSUE_TIME,START_TIME,END_TIME
00601,0,N/S,202303311200,202303310100,202304031200
00602,0,N/S,202303311200,202303310100,202304031200
00603,0,N/S,202303311200,202303310100,202304031200
00604,0,N/S,202303311200,202303310100,202304031200
00605,0,N/S,202303311200,202303310100,202304031200
00606,0,N/S,202303311200,202303310100,202304031200
00610,0,N/S,202303311200,202303310100,202304031200
00611,0,N/S,202303311200,202303310100,202304031200
00612,0,N/S,202303311200,202303310100,202304031200
00613,0,N/S,202303311200,202303310100,202304031200
00614,0,N/S,202303311200,202303310100,202304031200
00616,0,N/S,202303311200,202303310100,202304031200
00617,0,N/S,202303311200,202303310100,202304031200
00622,0,N/S,202303311200,202303310100,202304031200
00623,0,N/S,202303311200,202303310100,202304031200
00624,0,N/S,202303311200,202303310100,202304031200
00627,0,N/S,202303311200,202303310100,202304031200
00637,0,N/S,202303311200,202303310100,202304031200
00638,0,N/S,202303311200,202303310100,202304031200
00641,0,N/S,202303311200,202303310100,202304031200
00646,0,N/S,202303311200,202303310100,202304031200
00647,0,N/S,202303311200,202303310100,202304031200
00650,0,N/S,202303311200,202303310100,202304031200
00652,0,N/S,202303311200,202303310100,202304031200
00653,0,N/S,202303311200,202303310100,202304031200
00656,0,N/S,202303311200,202303310100,202304031200
00659,0,N/S,202303311200,202303310100,202304031200
00660,0,N/S,202303311200,202303310100,202304031200
00662,0,N/S,202303311200,202303310100,202304031200
00664,0,N/S,202303311200,202303310100,202304031200
00667,0,N/S,202303311200,202303310100,202304031200
00669,0,N/S,202303311200,202303310100,202304031200
00670,0,N/S,202303311200,202303310100,202304031200
00674,0,N/S,202303311200,202303310100,202304031200
00676,0,N/S,202303311200,202303310100,202304031200
00677,0,N/S,202303311200,202303310100,202304031200
00678,0,N/S,202303311200,202303310100,202304031200
00680,0,N/S,202303311200,202303310100,202304031200
00681,0,N/S,202303311200,202303310100,202304031200
00682,0,N/S,202303311200,202303310100,202304031200
00683,0,N/S,202303311200,202303310100,202304031200
00685,0,N/S,202303311200,202303310100,202304031200
00687,0,N/S,202303311200,202303310100,202304031200
00688,0,N/S,202303311200,202303310100,202304031200
00690,0,N/S,202303311200,202303310100,202304031200
00692,0,N/S,202303311200,202303310100,202304031200
00693,0,N/S,202303311200,202303310100,202304031200
00694,0,N/S,202303311200,202303310100,202304031200
00698,0,N/S,202303311200,202303310100,202304031200
00703,0,N/S,202303311200,202303310100,202304031200
00704,0,N/S,202303311200,202303310100,202304031200
00705,0,N/S,202303311200,202303310100,202304031200
00707,0,N/S,202303311200,202303310100,202304031200
00714,0,N/S,202303311200,202303310100,202304031200
00715,0,N/S,202303311200,202303310100,202304031200
00716,0,N/S,202303311200,202303310100,202304031200
00717,0,N/S,202303311200,202303310100,202304031200
00718,0,N/S,202303311200,202303310100,202304031200
00719,0,N/S,202303311200,202303310100,202304031200
00720,0,N/S,202303311200,202303310100,202304031200
00721,0,N/S,202303311200,202303310100,202304031200
00723,0,N/S,202303311200,202303310100,202304031200
00725,0,N/S,202303311200,202303310100,202304031200
00726,0,N/S,202303311200,202303310100,202304031200
00727,0,N/S,202303311200,202303310100,202304031200
00728,0,N/S,202303311200,202303310100,202304031200
00729,0,N/S,202303311200,202303310100,202304031200
00730,0,N/S,202303311200,202303310100,202304031200
00731,0,N/S,202303311200,202303310100,202304031200
00732,0,N/S,202303311200,202303310100,202304031200
00733,0,N/S,202303311200,202303310100,202304031200
00735,0,N/S,202303311200,202303310100,202304031200
00736,0,N/S,202303311200,202303310100,202304031200
00737,0,N/S,202303311200,202303310100,202304031200
00738,0,N/S,202303311200,202303310100,202304031200
00739,0,N/S,202303311200,202303310100,202304031200
00740,0,N/S,202303311200,202303310100,202304031200
00741,0,N/S,202303311200,202303310100,202304031200
00744,0,N/S,202303311200,202303310100,202304031200
00745,0,N/S,202303311200,202303310100,202304031200
00751,0,N/S,202303311200,202303310100,202304031200
00754,0,N/S,202303311200,202303310100,202304031200
00757,0,N/S,202303311200,202303310100,202304031200
00765,0,N/S,202303311200,202303310100,202304031200
00766,0,N/S,202303311200,202303310100,202304031200
00767,0,N/S,202303311200,202303310100,202304031200
00769,0,N/S,202303311200,202303310100,202304031200
00771,0,N/S,202303311200,202303310100,202304031200
00772,0,N/S,202303311200,202303310100,202304031200
00773,0,N/S,202303311200,202303310100,202304031200
00777,0,N/S,202303311200,202303310100,202304031200
00778,0,N/S,202303311200,202303310100,202304031200
00780,0,N/S,202303311200,202303310100,202304031200
00782,0,N/S,202303311200,202303310100,202304031200
00783,0,N/S,202303311200,202303310100,202304031200
00784,0,N/S,202303311200,202303310100,202304031200
00785,0,N/S,202303311200,202303310100,202304031200
00791,0,N/S,202303311200,202303310100,202304031200
00792,0,N/S,202303311200,202303310100,202304031200
00794,0,N/S,202303311200,202303310100,202304031200
00795,0,N/S,202303311200,202303310100,202304031200
00801,0,N/S,202303311200,202303310100,202304031200
00802,0,N/S,202303311200,202303310100,202304031200
00803,0,N/S,202303311200,202303310100,202304031200
00804,0,N/S,202303311200,202303310100,202304031200
00820,0,N/S,202303311200,202303310100,202304031200
00830,0,N/S,202303311200,202303310100,202304031200
00831,0,N/S,202303311200,202303310100,202304031200
00840,0,N/S,202303311200,202303310100,202304031200
00850,0,N/S,202303311200,202303310100,202304031200
00901,0,N/S,202303311200,202303310100,202304031200
00902,0,N/S,202303311200,202303310100,202304031200
00907,0,N/S,202303311200,202303310100,202304031200
00908,0,N/S,202303311200,202303310100,202304031200
00909,0,N/S,202303311200,202303310100,202304031200
00910,0,N/S,202303311200,202303310100,202304031200
00911,0,N/S,202303311200,202303310100,202304031200
00912,0,N/S,202303311200,202303310100,202304031200
00913,0,N/S,202303311200,202303310100,202304031200
00914,0,N/S,202303311200,202303310100,202304031200
00915,0,N/S,202303311200,202303310100,202304031200
00916,0,N/S,202303311200,202303310100,202304031200
00917,0,N/S,202303311200,202303310100,202304031200
00918,0,N/S,202303311200,202303310100,202304031200
00919,0,N/S,202303311200,202303310100,202304031200
00920,0,N/S,202303311200,202303310100,202304031200
00921,0,N/S,202303311200,202303310100,202304031200
00922,0,N/S,202303311200,202303310100,202304031200
00923,0,N/S,202303311200,202303310100,202304031200
00924,0,N/S,202303311200,202303310100,202304031200
00925,0,N/S,202303311200,202303310100,202304031200
00926,0,N/S,202303311200,202303310100,202304031200
00927,0,N/S,202303311200,202303310100,202304031200
00928,0,N/S,202303311200,202303310100,202304031200
00929,0,N/S,202303311200,202303310100,202304031200
00931,0,N/S,202303311200,202303310100,202304031200
00934,0,N/S,202303311200,202303310100,202304031200
00936,0,N/S,202303311200,202303310100,202304031200
00937,0,N/S,202303311200,202303310100,202304031200
00940,0,N/S,202303311200,202303310100,202304031200
00949,0,N/S,202303311200,202303310100,202304031200
00950,0,N/S,202303311200,202303310100,202304031200
00951,0,N/S,202303311200,202303310100,202304031200
00952,0,N/S,202303311200,202303310100,202304031200
00953,0,N/S,202303311200,202303310100,202304031200
00954,0,N/S,202303311200,202303310100,202304031200
00956,0,N/S,202303311200,202303310100,202304031200
00957,0,N/S,202303311200,202303310100,202304031200
00958,0,N/S,202303311200,202303310100,202304031200
00959,0,N/S,202303311200,202303310100,202304031200
00960,0,N/S,202303311200,202303310100,202304031200
00961,0,N/S,202303311200,202303310100,202304031200
00962,0,N/S,202303311200,202303310100,202304031200
00963,0,N/S,202303311200,202303310100,202304031200
00965,0,N/S,202303311200,202303310100,202304031200
00966,0,N/S,202303311200,202303310100,202304031200
00968,0,N/S,202303311200,202303310100,202304031200
00969,0,N/S,202303311200,202303310100,202304031200
00970,0,N/S,202303311200,202303310100,202304031200
00971,0,N/S,202303311200,202303310100,202304031200
00976,0,N/S,202303311200,202303310100,202304031200
00977,0,N/S,202303311200,202303310100,202304031200
00979,0,N/S,202303311200,202303310100,202304031200
00981,0,N/S,202303311200,202303310100,202304031200
00982,0,N/S,202303311200,202303310100,202304031200
00983,0,N/S,202303311200,202303310100,202304031200
00984,0,N/S,202303311200,202303310100,202304031200
00985,0,N/S,202303311200,202303310100,202304031200
00986,0,N/S,202303311200,202303310100,202304031200
00987,0,N/S,202303311200,202303310100,202304031200
00988,0,N/S,202303311200,202303310100,202304031200
01001,2,MRGL,202303311200,202303310100,202304031200
01002,2,MRGL,202303311200,202303310100,202304031200
01003,2,MRGL,202303311200,202303310100,202304031200
01004,2,MRGL,202303311200,202303310100,202304031200
01005,2,MRGL,202303311200,202303310100,202304031200
01007,2,MRGL,202303311200,202303310100,202304031200
01008,2,MRGL,202303311200,202303310100,202304031200
01010,2,MRGL,202303311200,202303310100,202304031200
01011,2,MRGL,202303311200,202303310100,202304031200
