STD_ZIP5,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
00601,PR,0,N/S,202402150600,202402150100,202402221200
00602,PR,0,N/S,202402150600,202402150100,202402221200
00603,PR,0,N/S,202402150600,202402150100,202402221200
00604,PR,0,N/S,202402150600,202402150100,202402221200
00605,PR,0,N/S,202402150600,202402150100,202402221200
00606,PR,0,N/S,202402150600,202402150100,202402221200
00610,PR,0,N/S,202402150600,202402150100,202402221200
00611,PR,0,N/S,202402150600,202402150100,202402221200
00612,PR,0,N/S,202402150600,202402150100,202402221200
00613,PR,0,N/S,202402150600,202402150100,202402221200
00614,PR,0,N/S,202402150600,202402150100,202402221200
00616,PR,0,N/S,202402150600,202402150100,202402221200
00617,PR,0,N/S,202402150600,202402150100,202402221200
00622,PR,0,N/S,202402150600,202402150100,202402221200
00623,PR,0,N/S,202402150600,202402150100,202402221200
00624,PR,0,N/S,202402150600,202402150100,202402221200
00627,PR,0,N/S,202402150600,202402150100,202402221200
00637,PR,0,N/S,202402150600,202402150100,202402221200
00638,PR,0,N/S,202402150600,202402150100,202402221200
00641,PR,0,N/S,202402150600,202402150100,202402221200
00646,PR,0,N/S,202402150600,202402150100,202402221200
00647,PR,0,N/S,202402150600,202402150100,202402221200
00650,PR,0,N/S,202402150600,202402150100,202402221200
00652,PR,0,N/S,202402150600,202402150100,202402221200
00653,PR,0,N/S,202402150600,202402150100,202402221200
00656,PR,0,N/S,202402150600,202402150100,202402221200
00659,PR,0,N/S,202402150600,202402150100,202402221200
00660,PR,0,N/S,202402150600,202402150100,202402221200
00662,PR,0,N/S,202402150600,202402150100,202402221200
00664,PR,0,N/S,202402150600,202402150100,202402221200
00667,PR,0,N/S,202402150600,202402150100,202402221200
00669,PR,0,N/S,202402150600,202402150100,202402221200
00670,PR,0,N/S,202402150600,202402150100,202402221200
00674,PR,0,N/S,202402150600,202402150100,202402221200
00676,PR,0,N/S,202402150600,202402150100,202402221200
00677,PR,0,N/S,202402150600,202402150100,202402221200
00678,PR,0,N/S,202402150600,202402150100,202402221200
00680,PR,0,N/S,202402150600,202402150100,202402221200
00681,PR,0,N/S,202402150600,202402150100,202402221200
00682,PR,0,N/S,202402150600,202402150100,202402221200
00683,PR,0,N/S,202402150600,202402150100,202402221200
00685,PR,0,N/S,202402150600,202402150100,202402221200
00687,PR,0,N/S,202402150600,202402150100,202402221200
00688,PR,0,N/S,202402150600,202402150100,202402221200
00690,PR,0,N/S,202402150600,202402150100,202402221200
00692,PR,0,N/S,202402150600,202402150100,202402221200
00693,PR,0,N/S,202402150600,202402150100,202402221200
00694,PR,0,N/S,202402150600,202402150100,202402221200
00698,PR,0,N/S,202402150600,202402150100,202402221200
00703,PR,0,N/S,202402150600,202402150100,202402221200
00704,PR,0,N/S,202402150600,202402150100,202402221200
00705,PR,0,N/S,202402150600,202402150100,202402221200
00707,PR,0,N/S,202402150600,202402150100,202402221200
00714,PR,0,N/S,202402150600,202402150100,202402221200
00715,PR,0,N/S,202402150600,202402150100,202402221200
00716,PR,0,N/S,202402150600,202402150100,202402221200
00717,PR,0,N/S,202402150600,202402150100,202402221200
00718,PR,0,N/S,202402150600,202402150100,202402221200
00719,PR,0,N/S,202402150600,202402150100,202402221200
00720,PR,0,N/S,202402150600,202402150100,202402221200
00721,PR,0,N/S,202402150600,202402150100,202402221200
00723,PR,0,N/S,202402150600,202402150100,202402221200
00725,PR,0,N/S,202402150600,202402150100,202402221200
00726,PR,0,N/S,202402150600,202402150100,202402221200
00727,PR,0,N/S,202402150600,202402150100,202402221200
00728,PR,0,N/S,202402150600,202402150100,202402221200
00729,PR,0,N/S,202402150600,202402150100,202402221200
00730,PR,0,N/S,202402150600,202402150100,202402221200
00731,PR,0,N/S,202402150600,202402150100,202402221200
00732,PR,0,N/S,202402150600,202402150100,202402221200
00733,PR,0,N/S,202402150600,202402150100,202402221200
00735,PR,0,N/S,202402150600,202402150100,202402221200
00736,PR,0,N/S,202402150600,202402150100,202402221200
00737,PR,0,N/S,202402150600,202402150100,202402221200
00738,PR,0,N/S,202402150600,202402150100,202402221200
00739,PR,0,N/S,202402150600,202402150100,202402221200
00740,PR,0,N/S,202402150600,202402150100,202402221200
00741,PR,0,N/S,202402150600,202402150100,202402221200
00744,PR,0,N/S,202402150600,202402150100,202402221200
00745,PR,0,N/S,202402150600,202402150100,202402221200
00751,PR,0,N/S,202402150600,202402150100,202402221200
00754,PR,0,N/S,202402150600,202402150100,202402221200
00757,PR,0,N/S,202402150600,202402150100,202402221200
00765,PR,0,N/S,202402150600,202402150100,202402221200
00766,PR,0,N/S,202402150600,202402150100,202402221200
00767,PR,0,N/S,202402150600,202402150100,202402221200
00769,PR,0,N/S,202402150600,202402150100,202402221200
00771,PR,0,N/S,202402150600,202402150100,202402221200
00772,PR,0,N/S,202402150600,202402150100,202402221200
00773,PR,0,N/S,202402150600,202402150100,202402221200
00777,PR,0,N/S,202402150600,202402150100,202402221200
00778,PR,0,N/S,202402150600,202402150100,202402221200
00780,PR,0,N/S,202402150600,202402150100,202402221200
00782,PR,0,N/S,202402150600,202402150100,202402221200
00783,PR,0,N/S,202402150600,202402150100,202402221200
00784,PR,0,N/S,202402150600,202402150100,202402221200
00785,PR,0,N/S,202402150600,202402150100,202402221200
00791,PR,0,N/S,202402150600,202402150100,202402221200
00792,PR,0,N/S,202402150600,202402150100,202402221200
00794,PR,0,N/S,202402150600,202402150100,202402221200
00795,PR,0,N/S,202402150600,202402150100,202402221200
00801,VI,0,N/S,202402150600,202402150100,202402221200
00802,VI,0,N/S,202402150600,202402150100,202402221200
00803,VI,0,N/S,202402150600,202402150100,202402221200
00804,VI,0,N/S,202402150600,202402150100,202402221200
00820,VI,0,N/S,202402150600,202402150100,202402221200
00830,VI,0,N/S,202402150600,202402150100,202402221200
00831,VI,0,N/S,202402150600,202402150100,202402221200
00840,VI,0,N/S,202402150600,202402150100,202402221200
00850,VI,0,N/S,202402150600,202402150100,202402221200
00901,PR,0,N/S,202402150600,202402150100,202402221200
00902,PR,0,N/S,202402150600,202402150100,202402221200
00907,PR,0,N/S,202402150600,202402150100,202402221200
00908,PR,0,N/S,202402150600,202402150100,202402221200
00909,PR,0,N/S,202402150600,202402150100,202402221200
00910,PR,0,N/S,202402150600,202402150100,202402221200
00911,PR,0,N/S,202402150600,202402150100,202402221200
00912,PR,0,N/S,202402150600,202402150100,202402221200
00913,PR,0,N/S,202402150600,202402150100,202402221200
00914,PR,0,N/S,202402150600,202402150100,202402221200
00915,PR,0,N/S,202402150600,202402150100,202402221200
00916,PR,0,N/S,202402150600,202402150100,202402221200
00917,PR,0,N/S,202402150600,202402150100,202402221200
00918,PR,0,N/S,202402150600,202402150100,202402221200
00919,PR,0,N/S,202402150600,202402150100,202402221200
00920,PR,0,N/S,202402150600,202402150100,202402221200
00921,PR,0,N/S,202402150600,202402150100,202402221200
00922,PR,0,N/S,202402150600,202402150100,202402221200
00923,PR,0,N/S,202402150600,202402150100,202402221200
00924,PR,0,N/S,202402150600,202402150100,202402221200
00925,PR,0,N/S,202402150600,202402150100,202402221200
00926,PR,0,N/S,202402150600,202402150100,202402221200
00927,PR,0,N/S,202402150600,202402150100,202402221200
00928,PR,0,N/S,202402150600,202402150100,202402221200
00929,PR,0,N/S,202402150600,202402150100,202402221200
00931,PR,0,N/S,202402150600,202402150100,202402221200
00934,PR,0,N/S,202402150600,202402150100,202402221200
00936,PR,0,N/S,202402150600,202402150100,202402221200
00937,PR,0,N/S,202402150600,202402150100,202402221200
00940,PR,0,N/S,202402150600,202402150100,202402221200
00949,PR,0,N/S,202402150600,202402150100,202402221200
00950,PR,0,N/S,202402150600,202402150100,202402221200
00951,PR,0,N/S,202402150600,202402150100,202402221200
00952,PR,0,N/S,202402150600,202402150100,202402221200
00953,PR,0,N/S,202402150600,202402150100,202402221200
00954,PR,0,N/S,202402150600,202402150100,202402221200
00956,PR,0,N/S,202402150600,202402150100,202402221200
00957,PR,0,N/S,202402150600,202402150100,202402221200
00958,PR,0,N/S,202402150600,202402150100,202402221200
00959,PR,0,N/S,202402150600,202402150100,202402221200
00960,PR,0,N/S,202402150600,202402150100,202402221200
00961,PR,0,N/S,202402150600,202402150100,202402221200
00962,PR,0,N/S,202402150600,202402150100,202402221200
00963,PR,0,N/S,202402150600,202402150100,202402221200
00965,PR,0,N/S,202402150600,202402150100,202402221200
00966,PR,0,N/S,202402150600,202402150100,202402221200
00968,PR,0,N/S,202402150600,202402150100,202402221200
00969,PR,0,N/S,202402150600,202402150100,202402221200
00970,PR,0,N/S,202402150600,202402150100,202402221200
00971,PR,0,N/S,202402150600,202402150100,202402221200
00976,PR,0,N/S,202402150600,202402150100,202402221200
00977,PR,0,N/S,202402150600,202402150100,202402221200
00979,PR,0,N/S,202402150600,202402150100,202402221200
00981,PR,0,N/S,202402150600,202402150100,202402221200
00982,PR,0,N/S,202402150600,202402150100,202402221200
00983,PR,0,N/S,202402150600,202402150100,202402221200
00984,PR,0,N/S,202402150600,202402150100,202402221200
00985,PR,0,N/S,202402150600,202402150100,202402221200
00986,PR,0,N/S,202402150600,202402150100,202402221200
00987,PR,0,N/S,202402150600,202402150100,202402221200
00988,PR,0,N/S,202402150600,202402150100,202402221200
01001,MA,0,N/S,202402150600,202402150100,202402221200
01002,MA,0,N/S,202402150600,202402150100,202402221200
01003,MA,0,N/S,202402150600,202402150100,202402221200
01004,MA,0,N/S,202402150600,202402150100,202402221200
01005,MA,0,N/S,202402150600,202402150100,202402221200
01007,MA,0,N/S,202402150600,202402150100,202402221200
01008,MA,0,N/S,202402150600,202402150100,202402221200
01010,MA,0,N/S,202402150600,202402150100,202402221200
01011,MA,0,N/S,202402150600,202402150100,202402221200
01012,MA,0,N/S,202402150600,202402150100,202402221200
01013,MA,0,N/S,202402150600,202402150100,202402221200
01014,MA,0,N/S,202402150600,202402150100,202402221200
01020,MA,0,N/S,202402150600,202402150100,202402221200
