NAMELSAD,STUSPS,event_index,category,ISSUE_TIME,START_TIME,END_TIME
Northampton County,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Rooks County,KS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Fayette County,IN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hall County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hamilton County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Loup County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Sheridan County,MT,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Frontier County,NE,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Luquillo Municipio,PR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Bibb County,AL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lauderdale County,MS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Big Stone County,MN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Blue Earth County,MN,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Highland County,VA,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Spotsylvania County,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Strafford County,NH,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Houston County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Delta County,MI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Sebastian County,AR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Santa Cruz County,CA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
McIntosh County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Monroe County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Dunklin County,MO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Wheeler County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Forsyth County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
San Patricio County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Walthall County,MS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Monroe County,MO,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Isabella County,MI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Moore County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Calhoun County,SC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Sublette County,WY,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Fleming County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Clark County,WI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
York County,SC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Adams County,IN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Ascension Parish,LA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Union County,PA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Chesterfield County,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Acadia Parish,LA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Crawford County,PA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Tripp County,SD,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Guthrie County,IA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Washington County,IA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Sanborn County,SD,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Grady County,OK,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Kanawha County,WV,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
St. Croix County,WI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Venango County,PA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Summit County,OH,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Glynn County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Webb County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Montgomery County,NC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Aroostook County,ME,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Jefferson Davis County,MS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Washington County,IN,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Blanco County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Brunswick County,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Dyer County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Gibson County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Prince George County,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Lawrence County,AR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Eddy County,ND,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Pierce County,WA,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Lincoln County,ID,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Lancaster County,PA,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Juneau County,WI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Scott County,TN,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Corson County,SD,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Gregory County,SD,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Vance County,NC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Caldwell County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Barnwell County,SC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Decatur County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Blackford County,IN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Etowah County,AL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Camas County,ID,3,MODERATE,202402150600,00Z 02/15/24,00Z 02/18/24
Reno County,KS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Maury County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Goshen County,WY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Rusk County,WI,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Waukesha County,WI,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Garrard County,KY,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Norfolk County,MA,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Hendricks County,IN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Jackson County,IL,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Georgetown County,SC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hettinger County,ND,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Grand County,UT,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Tooele County,UT,1,LIMITED,202402150600,00Z 02/15/24,00Z 02/18/24
Hampton city,VA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Buffalo County,WI,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Frederick County,VA,2,MINOR,202402150600,00Z 02/15/24,00Z 02/18/24
Lewis County,WV,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Polk County,MN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Redwood County,MN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Fayette County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Swains Island,AS,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
St. Charles Parish,LA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Poinsett County,AR,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Gulf County,FL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hamblen County,TN,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Chilton County,AL,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Newton County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Hockley County,TX,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Baldwin County,GA,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Transylvania County,NC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
Surry County,NC,0,N/S,202402150600,00Z 02/15/24,00Z 02/18/24
